accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-837,502,26,-436,-436
-1961,-774,53,53,-436,-434
-1961,-945,-517,50,-436,-432
-1961,-950,-837,185,-436,-436
-1463,-739,-1026,259,-436,-436
-996,-499,-892,271,-436,-436
-819,-217,-662,167,-436,-436
-623,78,-584,75,-436,-436
-285,129,-488,6,-436,-436
21,279,-705,-12,-436,-434
416,174,-698,14,-436,-337
473,223,-563,74,-235,-307
121,475,-437,114,-146,-252
142,624,-518,94,-282,-166
451,560,-709,67,-331,-98
530,578,-848,24,-263,-32
518,460,-928,-8,-249,18
546,340,-1028,24,-254,49
447,223,-1013,162,-241,131
441,366,-1172,200,-318,130
650,293,-1470,101,-325,50
736,241,-1607,68,-173,39
491,308,-1518,42,-1,92
280,286,-1472,-86,23,141
195,120,-1511,-164,3,146
212,144,-1594,-176,-40,197
255,102,-1710,-245,37,230
192,-38,-1650,-262,104,223
121,0,-1512,-198,148,246
184,136,-1459,-170,160,294
179,229,-1558,-197,287,334
96,-34,-1620,-186,436,366
-168,-109,-1563,-133,436,336
-507,-58,-1495,-92,436,265
-988,54,-1390,-33,436,228
-1172,63,-1404,47,436,289
-1579,162,-1789,153,436,316
-1961,323,-1393,371,436,387
-1961,788,-1222,390,436,226
-1961,1122,127,-132,436,-46
-1826,-166,325,-391,425,-79
-1677,-657,-88,19,384,59
-1678,237,-528,239,263,106
-1528,195,-744,121,266,102
-1937,159,-748,162,436,45
-1961,430,-548,102,428,-48
-1961,469,-361,-18,436,-63
-1896,270,-233,-175,409,-26
-1892,-131,-424,-144,344,1
-1729,19,-393,-132,198,-57
-1154,-163,-490,-227,94,-102
-1290,-166,-515,-203,249,-116
-1394,-68,-411,-237,224,-116
-1216,-166,-462,-309,114,-157
-1074,-216,-525,-344,62,-187
-906,-307,-566,-347,51,-189
-910,-212,-528,-330,94,-158
-975,-277,-489,-325,77,-113
-917,-403,-555,-270,21,-100
-825,-339,-530,-187,16,-95
-852,-212,-499,-163,49,-85
-929,-235,-463,-154,29,-66
-883,-275,-467,-112,-8,-69
-863,-228,-476,-75,-14,-95
-893,-135,-479,-61,-23,-118
-902,-101,-457,-55,-30,-125
-913,-58,-450,-31,-28,-111
-939,-27,-422,-9,-36,-91
-925,-12,-403,20,-41,-71
-989,10,-369,98,-45,-2
-1008,40,-422,206,-93,84
-862,85,-504,269,-132,138
-735,163,-549,223,-88,126
-749,229,-532,82,-16,56
-810,113,-480,-102,18,-43
-842,-27,-459,-185,9,-106
-824,-84,-461,-190,-7,-124
-820,-123,-459,-158,-5,-110
-838,-152,-454,-92,-8,-66
