accX,accY,accZ,gyroX,gyroY,gyroZ
-1607,-1961,-1366,-250,138,-436
-1296,-1961,-1930,50,329,-436
-1853,-1961,-1961,388,436,-436
-1961,-1961,-1961,436,436,-436
-1832,-1961,-1961,436,390,-436
-1506,-1900,-1961,436,375,-436
-1379,-1307,-1961,436,311,-436
-1215,-853,-1961,436,234,-436
-1076,-557,-1961,436,232,-436
-1017,-488,-1961,436,288,-436
-959,-562,-1958,436,328,-436
-989,-482,-1762,436,416,-436
-1202,-291,-1738,436,436,-436
-1326,10,-1776,436,436,-436
-1536,326,-1961,436,436,-436
-1815,783,-1961,365,436,-436
-1961,1033,-1884,354,436,-425
-1961,1961,-1195,436,436,-310
-1961,1961,177,-6,329,-198
-1961,1961,47,-436,-249,214
-1961,1783,-953,-436,-436,436
-1961,854,-1652,-436,-436,436
-1052,-249,-1688,-436,-436,419
-485,-495,-1585,-39,-436,436
85,339,-1961,-277,-436,436
1355,-1509,-1961,-436,-436,215
1382,-1955,-1961,-436,-183,-82
1961,-1961,-1961,-436,158,-121
841,-1961,-1270,-430,436,-321
-4,-1961,-499,-207,436,-376
-1169,-1676,165,61,436,-405
-1961,-150,387,54,436,-408
-1961,-97,1174,30,436,-382
-1961,232,1961,150,271,-210
-1961,1945,1543,123,-198,-13
-1961,1270,598,-297,-34,9
-1961,1614,384,-207,-204,417
-1961,1033,-130,-402,-436,436
-1957,782,-502,-420,-416,436
-1931,788,-554,-356,-292,436
-1961,835,-324,-409,-356,436
-1848,485,-846,-436,-295,436
-1961,-592,-1562,-436,16,436
-1961,-1961,-1257,-271,-209,436
-1961,-1639,-1195,-436,-296,436
-367,-1961,-1134,-436,-436,-394
1423,-1442,232,-13,-256,-235
50,-574,410,-19,334,-81
-597,-518,427,-109,53,-135
-155,-90,31,-329,-217,-222
446,-190,-176,-436,-116,-200
83,-228,-178,-436,245,-87
-381,-56,-167,-436,251,-71
-499,-164,-238,-436,100,-51
-446,-454,-217,-436,-16,95
-351,-418,-430,-344,-36,234
-649,-512,-496,-218,82,377
-910,-400,-594,-250,107,436
-1388,-725,-952,-363,116,436
-1819,-1158,-1092,-363,27,436
-1961,-1316,-1310,-368,-105,436
-1961,-1719,-1563,-376,-240,436
-1795,-1860,-1480,-329,-278,421
-1189,-1934,-1183,-163,-270,364
-916,-1573,-851,27,-109,289
-857,-1152,-671,81,4,140
-802,-739,-558,64,64,30
-835,-436,-469,-44,115,-57
-926,-336,-375,-183,89,-137
-917,-371,-324,-194,4,-169
-816,-329,-416,-114,-39,-157
-827,-250,-510,-19,-31,-107
-876,-182,-547,43,-15,-69
-862,-134,-555,63,-10,-59
-861,-110,-472,61,4,-58
-869,-50,-425,44,4,-63
-872,-14,-405,19,-9,-50
-828,-50,-420,-15,-29,-30
-792,-112,-455,-49,-34,-32
