accX,accY,accZ,gyroX,gyroY,gyroZ
-1433,124,1481,-229,-141,12
-1961,72,1234,-164,-181,36
-1961,-68,287,-201,-201,-7
-1961,-378,-572,-265,-135,-62
-1622,-500,-1159,-356,-242,-158
-517,-866,-1504,-191,-340,-213
384,-497,-1871,198,-309,-21
1471,-277,-1961,412,-239,131
1961,-124,-1961,196,35,13
1961,-191,-1961,-62,243,-218
1952,307,-1961,-104,436,-269
665,415,-1961,-53,436,-109
-601,721,-1961,-94,436,-116
-1261,556,-1961,-361,436,-42
-1961,-767,-1961,-65,436,397
-1961,-698,-1961,-37,436,169
-1961,-1961,-1961,71,436,131
-1961,-364,-1675,182,86,-36
-1961,-754,-835,-51,-418,-242
-1961,-851,-1961,136,-436,-26
-1961,-1400,-1961,74,-436,-153
-1085,-811,-1961,171,-436,-194
-25,-22,-1961,240,-436,-172
1143,854,-1961,169,-436,-139
1961,1135,-1961,181,-436,17
1961,917,-1961,66,51,50
1961,1271,-1961,-130,383,-79
1296,782,-1961,-303,436,-18
377,220,-1961,-237,436,133
-549,174,-1961,-313,436,159
-1359,-763,-1961,-304,436,262
-1961,-1393,-1961,-155,436,311
-1961,-1855,-1961,-23,436,146
-1961,-1861,-1675,132,324,-4
-1961,-878,-741,61,-67,-204
-1961,-1144,-1362,164,-436,-111
-1961,-1113,-1961,155,-436,-139
-1121,-948,-1961,151,-436,-255
-91,-296,-1961,428,-436,-40
969,507,-1961,313,-436,-58
1961,1057,-1961,145,-436,-95
1961,1200,-1961,143,-147,33
1961,1600,-1961,-108,220,-127
1961,1665,-1961,-364,436,-96
969,832,-1961,-402,436,121
-117,272,-1961,-381,436,264
-1939,-1017,-1961,-436,436,319
-1961,-1961,-1961,-83,436,363
-1961,-1961,-1961,41,436,16
-1961,-1380,-912,60,72,-89
-1961,-561,-429,35,-406,13
-1961,-1059,-1524,47,-436,61
-1961,-1268,-1961,61,-436,57
-1189,-982,-1961,269,-436,186
-1439,-253,-1961,110,-436,188
-1098,-215,-1961,-81,-436,-65
-763,-12,-1961,-19,-436,-74
-260,106,-1961,5,-436,1
204,205,-1783,-167,-436,-92
642,-254,-1311,-156,-430,15
482,-459,-844,35,82,111
-11,-268,-546,144,195,88
-137,-38,-465,96,106,37
-127,-16,-425,7,118,31
-271,-110,-409,-61,188,38
-452,-218,-323,-72,243,60
-647,-280,-267,-41,313,106
-904,-268,-240,33,402,140
-1392,-93,-237,17,435,123
-1852,-445,11,53,315,188
-1663,-528,309,176,214,200
-1692,-281,679,244,213,136
-1776,21,788,184,65,98
-1431,89,538,85,-98,81
-1007,59,280,-28,-105,51
-861,-107,168,-111,1,56
-1015,-257,96,-101,57,48
-1105,-260,-19,-56,31,24
-1124,-211,-110,-26,-2,10
