accX,accY,accZ,gyroX,gyroY,gyroZ
-637,-426,785,-93,-178,-67
539,-38,68,-8,-111,-6
-243,-147,441,0,58,73
0,-219,384,8,-20,104
-34,-291,566,8,77,67
-345,-207,964,33,101,21
-528,-215,1079,2,55,7
-291,-189,945,4,41,14
-336,-193,963,-11,76,14
-258,-217,872,-10,36,5
-48,-184,681,4,69,-6
-131,-137,659,17,158,-6
-162,-80,564,-4,192,9
-12,-114,313,-34,302,66
-171,-210,66,5,436,130
-765,-124,323,50,436,150
-613,-35,115,68,436,130
-1060,43,-70,59,436,58
-1961,210,-218,80,436,32
-1961,187,-90,0,293,81
-1634,-66,-71,-47,-85,76
-1482,-85,-179,-33,-170,-12
-1422,-72,-169,-30,-304,-34
-680,-94,-217,-47,-341,-6
-358,-235,-136,17,-61,-12
-1082,-151,13,107,174,-36
-1525,32,-46,120,209,-28
-1665,31,19,69,147,-71
-1601,-153,55,-11,29,-154
-1671,-656,185,23,-60,-191
-1674,-899,180,233,-127,-164
-1587,-847,201,356,-281,-229
-1299,-574,217,326,-414,-300
-970,-374,336,257,-436,-329
-701,-139,355,139,-436,-358
-558,-128,313,14,-436,-410
-384,-216,218,-13,-436,-436
-105,-324,152,57,-436,-427
243,-169,-51,127,-436,-359
732,192,-261,34,-436,-311
823,21,-290,-172,-436,-248
1174,-357,-319,-140,-436,-196
905,-355,-90,10,-304,-206
786,29,-206,101,-228,-211
812,28,-123,134,15,-159
547,294,432,115,277,-64
-71,161,985,90,354,59
203,-40,1098,135,358,187
-22,-281,1381,85,304,173
628,-393,1099,117,107,123
1060,-640,922,46,36,48
836,-497,835,-1,-30,-57
621,-246,636,3,-82,-116
803,56,409,3,-35,-89
740,42,541,-35,9,-18
797,-61,575,-28,-3,14
834,-108,547,-32,-3,15
783,-162,604,-43,-6,0
720,-146,659,-51,-27,-23
811,-97,639,-78,-44,-12
878,-194,672,-108,-19,15
768,-238,751,-130,30,35
849,-344,794,-107,99,26
182,-144,936,-140,159,5
102,-389,1060,-145,0,13
526,-323,774,-89,-23,11
448,-251,640,-118,82,12
361,-374,484,-118,82,-5
402,-389,331,-60,47,-62
496,-248,267,25,8,-70
612,86,57,63,-8,-5
728,254,-127,-21,-1,96
933,100,-142,-59,67,150
745,179,-219,-72,208,208
333,99,-123,-105,356,303
-2,-38,33,-70,436,436
-374,-59,157,-136,436,436
-871,-526,438,-234,436,436
-1079,-884,527,-245,395,436
