accX,accY,accZ,gyroX,gyroY,gyroZ
-1003,-1961,-1255,132,172,-436
-878,-1961,-1272,149,147,-436
-799,-1961,-1185,152,223,-436
-908,-1961,-939,149,253,-436
-796,-1801,-592,85,143,-436
-488,-1723,-469,14,78,-436
-177,-1608,-418,-65,70,-436
65,-1326,-306,-30,136,-436
-109,-966,-102,16,217,-436
-411,-437,-26,36,108,-436
-217,-467,-116,-14,17,-436
-105,-227,-185,77,42,-433
-139,287,-121,43,82,-315
-164,377,22,-21,3,-238
249,475,-92,5,-92,-175
511,765,-191,-12,10,-110
312,749,15,-62,21,-52
622,588,-98,-37,-53,-35
736,708,-149,9,9,-20
719,654,-106,-29,0,9
776,418,-174,-35,5,11
767,523,-274,17,17,5
843,641,-429,-40,36,41
831,393,-587,-55,104,56
867,437,-773,-107,117,44
936,275,-908,-175,215,45
802,77,-838,-227,323,33
669,-149,-635,-198,436,-1
315,78,-390,-139,436,-38
-118,277,-128,-240,436,-62
-475,158,130,-347,436,-51
-765,4,277,-436,436,-55
-950,-614,866,-333,436,-55
-1253,-141,1081,-224,436,-82
-1330,-560,1961,-150,436,-3
-1943,51,1961,-90,385,-13
-1844,88,1961,-117,-197,-74
-886,192,995,-50,-436,-62
225,413,425,32,-436,50
47,684,550,-42,94,160
-788,675,885,-100,171,271
-887,373,983,-64,53,355
-901,500,948,3,-1,408
-908,403,789,-53,-12,436
-969,296,771,-62,35,436
-1081,47,666,-69,52,436
-1113,-189,655,11,53,436
-1065,-88,644,81,28,436
-1011,34,696,-49,15,436
-919,-386,763,-103,5,436
-772,-288,797,-58,7,375
-539,-464,883,-180,-59,297
-185,-761,980,-170,-80,224
41,-900,1064,-126,-46,119
-133,-489,1009,-40,-68,-9
-27,-132,825,-26,-163,-43
305,-23,545,-1,-117,3
196,260,480,-98,15,8
55,100,420,-213,21,29
33,105,242,-291,46,27
-49,204,53,-436,55,17
-101,27,-175,-436,80,19
-170,-201,-205,-436,147,43
-377,-288,-272,-436,211,86
-572,-520,-210,-436,221,176
-814,-349,-492,-436,293,224
-1124,-678,-557,-436,171,206
-1257,-915,-701,-436,147,303
-1426,-653,-843,-436,-2,260
-1298,-1140,-1008,-312,-28,355
-1470,-829,-939,-258,17,358
-1478,-1236,-1087,-248,-62,334
-1279,-917,-913,-204,-12,303
-1483,-1322,-712,-159,-35,308
-1100,-1201,-723,45,-54,326
-1030,-823,-681,-56,4,192
-960,-1000,-632,-126,7,92
-789,-862,-563,-119,32,6
-836,-702,-474,-152,47,-81
