accX,accY,accZ,gyroX,gyroY,gyroZ
-944,-372,-822,-73,364,-40
-819,-141,-748,-92,343,-30
-702,-280,-537,-115,326,-18
-649,-245,-383,-78,259,-3
-421,-256,-249,-35,166,18
-274,-183,-193,-23,118,25
-302,-254,-150,-35,59,27
-243,-351,-134,-6,-14,30
-237,-284,-168,27,-67,23
-345,-177,-306,10,-127,18
-432,-256,-478,-32,-195,6
-428,-273,-636,-4,-247,6
-534,-212,-750,10,-253,14
-638,-188,-923,-12,-289,22
-643,-289,-1066,-26,-310,16
-599,-211,-1228,-9,-285,30
-675,-292,-1361,-51,-260,28
-564,-271,-1458,-20,-222,32
-603,-271,-1579,-61,-163,24
-489,-401,-1585,-47,-100,13
-512,-348,-1567,-18,-8,2
-487,-320,-1504,-9,51,-4
-480,-305,-1423,-6,119,-13
-564,-288,-1411,-2,170,-16
-565,-211,-1468,7,225,-15
-650,-273,-1447,9,266,-14
-700,-201,-1376,31,311,-16
-670,-184,-1226,39,334,-9
-697,-153,-1027,30,340,-9
-611,-208,-751,28,313,-5
-533,-160,-491,43,274,-3
-443,-131,-287,20,204,0
-335,-173,-177,-16,120,6
-221,-245,-188,-36,57,10
-152,-332,-215,-6,5,15
-149,-245,-320,17,-39,15
-152,-323,-409,30,-94,12
-188,-416,-525,72,-126,2
-309,-476,-581,174,-179,7
-400,-482,-678,256,-256,39
-419,-645,-700,331,-305,62
-607,-721,-804,433,-349,56
-595,-661,-823,436,-392,58
-494,-605,-726,390,-328,75
-625,-703,-532,288,-252,96
-687,-796,-346,251,-211,111
-756,-758,-259,215,-182,137
-782,-848,-121,192,-158,135
-785,-782,-38,210,-136,135
-840,-620,-6,171,-109,156
-890,-503,0,65,-87,169
-863,-570,25,-38,-63,185
-835,-698,84,-63,-19,185
-899,-707,135,-42,-10,169
-893,-634,134,-18,-26,150
-881,-553,81,-29,-29,140
-851,-476,42,-64,-15,132
-867,-433,34,-113,8,132
-925,-480,47,-132,17,127
-940,-508,62,-118,9,115
-943,-485,67,-96,9,98
-964,-431,64,-83,10,82
-943,-368,51,-85,13,70
-940,-342,47,-104,26,56
-944,-349,58,-116,32,43
-952,-369,84,-97,35,28
-937,-311,79,-65,26,14
-911,-256,86,-54,27,-1
-944,-206,102,-44,16,-13
-931,-135,83,-41,-1,-13
-918,-140,71,-53,-5,-17
-931,-152,65,-56,-6,-19
-945,-164,54,-49,-6,-16
-940,-160,56,-38,-3,-13
-934,-167,54,-26,-1,-8
-917,-170,56,-12,-1,-5
-924,-152,58,-2,-2,1
-919,-156,55,0,-4,8
-945,-154,54,0,-5,14
