accX,accY,accZ,gyroX,gyroY,gyroZ
-1426,-1295,132,58,-345,-356
-1162,-1125,-22,61,-239,-431
-1303,-1137,-19,83,-81,-436
-1508,-1183,-117,189,-35,-436
-1477,-999,-187,276,-62,-436
-1329,-821,-213,302,-74,-436
-1130,-652,-208,329,-98,-436
-863,-534,-204,324,-80,-436
-744,-348,-182,339,-14,-436
-726,-100,-140,299,-2,-436
-485,4,-104,245,14,-436
-374,137,-122,193,140,-436
-512,116,13,127,227,-425
-452,184,60,98,252,-382
-593,279,228,28,335,-328
-679,125,553,-13,300,-269
-712,293,930,34,292,-217
-780,534,1347,-46,238,-157
-825,241,1775,-54,162,-107
-846,355,1961,43,78,-50
-767,569,1961,53,-33,-5
-674,389,1961,63,-88,39
-563,178,1715,120,-170,79
-575,-26,1547,183,-207,89
-490,-77,1351,299,-289,92
-274,44,1229,330,-306,85
-147,-49,1130,334,-278,87
-221,90,1061,369,-317,64
175,264,685,393,-368,55
262,571,652,346,-209,69
263,497,550,319,-227,88
342,625,443,321,-171,91
410,652,349,270,-145,132
387,539,391,241,-104,134
387,457,335,224,-109,127
477,554,191,198,-101,138
337,396,277,200,-98,141
586,488,-48,190,-128,128
453,698,-99,140,-47,145
504,475,-184,150,-66,175
580,744,-360,142,-11,169
561,609,-349,119,29,225
500,421,-189,134,75,236
536,322,-104,160,53,228
495,364,-91,143,72,239
536,146,-101,133,38,256
660,254,-240,123,55,279
514,22,-69,64,94,308
562,-162,-45,106,44,296
643,-31,-182,101,77,298
560,-160,-85,49,112,332
371,-278,77,54,123,347
507,-297,-92,8,102,378
252,-354,-50,-89,198,404
-28,-716,166,-106,162,416
78,-793,0,-20,56,375
-35,-704,-29,-54,116,359
-251,-1116,82,-21,115,343
-306,-963,6,91,1,304
-183,-798,-65,29,46,295
-479,-948,54,-20,78,301
-471,-917,-39,19,31,302
-542,-860,0,6,94,305
-853,-848,72,-36,84,290
-675,-992,-21,10,20,290
-873,-758,-20,44,90,291
-924,-745,69,2,44,293
-1000,-922,39,16,69,291
-1107,-792,75,53,52,276
-1069,-695,38,68,78,302
-1291,-583,96,23,84,312
-1226,-569,64,-41,45,306
-1318,-742,51,-38,19,302
-1117,-558,-37,-44,24,271
-1345,-574,-23,-17,74,240
-1403,-632,50,90,5,227
-1176,-367,86,167,15,204
-1339,-290,125,121,-2,172
-1062,-404,121,108,-60,162
