accX,accY,accZ,gyroX,gyroY,gyroZ
-459,-1017,-1292,170,64,-294
-427,-1231,-1181,167,193,-295
-565,-1045,-827,276,180,-230
-377,-810,-552,275,31,-207
-168,-613,-451,256,-60,-176
-20,-490,-386,262,-94,-52
-70,-778,-320,206,-87,21
-175,-1204,-174,238,-219,-36
-49,-929,-287,370,-367,-72
410,-544,-483,384,-285,-47
376,-503,-244,188,-164,-118
616,-678,-295,241,-72,-32
295,-637,1,240,25,-9
332,-725,164,313,28,59
-59,-596,252,143,24,-39
43,-588,303,266,-137,13
214,-252,296,82,-62,-82
88,-563,380,110,-138,-68
484,-298,174,202,0,-5
9,-357,444,-19,70,-101
166,-527,668,30,95,-56
-129,-514,688,-24,-46,-105
544,-400,384,30,-158,-66
428,-466,459,-12,78,-44
318,-362,603,32,4,-23
424,-287,663,-14,40,0
312,-464,602,16,0,55
518,-394,559,42,24,84
231,-516,751,-34,117,55
47,-551,702,-4,-16,51
412,-402,551,-15,-12,53
157,-507,498,-72,80,14
174,-534,434,-43,-27,8
555,-472,284,-76,122,1
47,-760,339,-156,259,-50
-49,-865,368,-36,75,-28
350,-561,402,-13,162,-39
-20,-594,741,-122,261,-86
-173,-665,530,-63,14,-29
212,-649,349,47,-85,37
383,-408,301,-36,72,15
-127,-932,540,-18,254,106
-383,-898,804,274,-103,149
225,-668,257,396,-324,211
472,-102,157,132,2,63
198,-485,509,-155,212,20
-94,-623,653,-166,374,33
-561,-640,696,-306,208,-62
-316,-705,623,-265,-23,-3
-90,-733,293,-380,-48,-49
-116,-1019,242,-271,24,90
-223,-932,204,-231,130,184
-466,-1008,245,-301,79,107
-518,-957,81,-273,30,150
-514,-978,-45,-274,36,197
-534,-1116,-166,-259,8,116
-465,-759,-296,-341,12,60
-512,-1460,-354,-436,52,-222
-854,-1476,-511,-396,-77,-275
-739,-939,-364,-34,-228,172
-423,-624,-758,89,-126,436
-505,-679,-709,-132,39,382
-613,-740,-699,-218,14,229
-666,-624,-803,-197,70,203
-864,-574,-701,-203,75,203
-931,-541,-618,-166,30,211
-919,-506,-635,-99,-47,198
-799,-438,-771,-38,-83,152
-715,-212,-789,-67,0,100
-900,-150,-682,-151,108,78
-1149,-257,-465,-160,71,93
-1072,-211,-407,-91,-32,136
-963,-234,-446,-10,-63,153
-926,-104,-552,12,-93,118
-773,-132,-622,-8,-101,44
-732,-132,-614,-29,-40,-31
-785,-2,-616,-60,-7,-65
-813,-15,-586,-126,-9,-85
-985,-87,-432,-127,-89,-81
-796,-95,-464,-64,-151,-42
