accX,accY,accZ,gyroX,gyroY,gyroZ
-1810,-241,255,123,-436,-166
-1611,-321,118,147,-436,-116
-1306,-228,-17,145,-436,-95
-918,-215,-41,95,-436,-81
-543,-220,-32,59,-436,-72
-380,-220,39,50,-436,-77
-171,-251,-21,58,-436,-44
20,-206,-106,70,-436,-14
68,-202,-142,33,-436,-15
139,-274,-225,2,-436,1
193,-284,-381,-9,-436,8
454,-422,-608,10,-436,-14
627,-472,-780,87,-353,-40
932,-429,-1059,72,-136,-54
186,-109,-778,53,-50,6
1062,-631,-1430,59,-252,80
922,-431,-1583,97,-3,-32
903,-272,-1500,-9,-121,-23
1082,-372,-1437,-103,-99,-48
883,-185,-1430,-131,-157,-51
691,-10,-1510,-229,-202,-8
639,-244,-1610,-280,-260,44
763,-442,-1584,-165,-228,61
767,-46,-1600,-219,-119,101
668,-461,-1564,-342,26,151
523,-572,-1421,-312,40,168
801,-713,-1598,-351,157,180
405,-790,-1149,-288,287,120
406,-464,-1190,-247,226,168
519,-960,-1245,-251,436,201
-324,-563,-1100,-163,436,136
-616,-593,-1444,-160,436,140
-1580,-288,-1961,-140,436,100
-1961,-808,-1961,-209,436,98
-1961,-588,-942,213,436,15
-1961,901,1057,436,436,20
-1961,1477,1961,436,436,-23
-1764,1641,1961,-28,236,-148
-1342,1021,1961,-83,141,-160
-832,1515,1961,-76,68,-74
-797,757,1961,-83,54,-22
-584,822,1790,48,-2,0
-573,845,1474,-33,-51,-6
-446,615,1194,-52,-102,-12
-391,532,943,-67,-82,-19
-529,478,789,-134,-67,-39
-385,263,657,-181,-96,-67
-406,197,576,-170,-35,-75
-521,216,535,-196,-47,-45
-311,46,485,-221,-54,-36
-483,-43,516,-187,-5,-15
-283,59,435,-180,-81,39
-16,-161,369,-199,22,59
-368,-125,559,-158,75,105
-149,-67,347,-196,14,164
-340,-327,399,-226,81,213
-400,-336,395,-178,28,293
-345,-249,173,-242,81,341
-612,-468,213,-356,120,351
-641,-753,167,-339,97,366
-867,-714,167,-268,134,394
-935,-778,87,-254,95,417
-1139,-971,121,-246,154,413
-1212,-814,125,-204,116,361
-1260,-780,96,-235,157,328
-1401,-905,159,-214,161,308
-1247,-727,112,-171,140,240
-1189,-535,126,-146,194,205
-1280,-495,209,-98,240,206
-1382,-442,248,-52,188,186
-1240,-335,200,-40,96,144
-1156,-269,151,-46,66,115
-1149,-272,140,-31,56,98
-1131,-293,132,3,38,79
-1096,-271,124,34,19,46
-1079,-207,107,46,-5,5
-1054,-150,86,46,-27,-32
-1042,-98,57,46,-48,-58
-1026,-54,31,48,-65,-74
