accX,accY,accZ,gyroX,gyroY,gyroZ
-1662,-1029,913,5,-221,-435
-1649,-990,869,-27,-287,-436
-1586,-1251,811,-35,-302,-436
-1590,-1325,614,4,-341,-436
-1560,-1342,432,68,-368,-436
-1543,-1074,186,139,-436,-436
-1221,-843,15,138,-436,-436
-1026,-687,49,186,-436,-436
-968,-331,-23,166,-436,-436
-596,-384,-173,104,-436,-403
-404,-292,-294,56,-436,-369
-256,-305,-524,52,-436,-365
-34,-237,-706,112,-375,-348
88,90,-811,124,-302,-335
149,135,-909,54,-235,-303
174,135,-1071,200,-165,-255
78,753,-1398,207,-186,-181
185,770,-1563,90,-310,-108
439,773,-1614,91,-321,-37
945,488,-1581,73,-154,-3
971,360,-1267,37,115,31
625,144,-830,43,82,66
685,-79,-953,76,-122,52
975,124,-1540,-24,-124,26
903,82,-1880,-222,29,73
555,-178,-1676,-376,153,106
364,-336,-1405,-308,89,102
494,-247,-1553,-270,46,107
493,-348,-1604,-304,122,159
382,-393,-1465,-280,241,198
230,-463,-1233,-262,375,187
41,-403,-1055,-172,436,193
-287,-212,-842,-83,436,164
-594,-48,-725,-51,436,131
-964,25,-836,-29,436,104
-1875,341,-1350,-174,436,114
-1961,-212,-1365,-155,436,277
-1961,206,-488,-33,436,305
-1961,566,1476,107,436,325
-1961,-83,1961,40,102,243
-1408,-144,1961,74,27,53
-1599,75,1961,-42,84,-62
-1521,72,1711,10,-195,-63
-767,345,1131,37,-304,-33
-236,302,1019,-26,-178,-19
-384,131,1020,-110,27,-14
-711,-51,986,-108,-2,-50
-749,65,712,-104,-165,-91
-483,135,502,-142,-248,-119
-333,317,481,-178,-215,-129
-294,279,402,-258,-198,-85
-209,38,339,-220,-167,20
-246,-5,332,-163,-85,99
-302,-106,339,-174,-74,143
-315,-234,345,-175,-20,185
-543,-402,387,-198,13,212
-654,-565,472,-170,-42,233
-536,-434,480,-173,-41,255
-782,-609,458,-256,-33,323
-806,-1063,421,-212,-105,369
-637,-985,348,-114,-50,425
-759,-995,368,-126,37,427
-772,-1142,434,-74,92,394
-958,-925,447,-56,133,366
-1092,-1037,414,-97,87,339
-869,-1095,383,-48,73,303
-861,-820,285,-29,111,274
-846,-650,200,-81,149,274
-860,-693,215,-124,183,250
-938,-686,273,-99,219,205
-1101,-560,247,-67,203,165
-1163,-507,202,-65,122,132
-1101,-486,204,-47,50,94
-1073,-343,116,-47,18,42
-1036,-263,59,-72,2,2
-956,-231,47,-83,10,-32
-933,-154,69,-58,29,-56
-950,-61,95,-33,37,-55
-987,2,82,-39,23,-41
