accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-933,-340,29,-436,-436
-1961,-860,-737,41,-436,-436
-1961,-836,-916,147,-436,-436
-1961,-530,-1211,201,-436,-436
-1864,-245,-1303,186,-436,-436
-1413,-73,-1169,234,-436,-436
-918,184,-1021,263,-436,-436
-669,373,-934,241,-436,-436
-467,481,-799,203,-436,-366
-53,515,-966,108,-436,-233
275,327,-979,19,-436,-163
330,200,-924,13,-383,-141
280,197,-888,72,-303,-129
319,525,-1223,112,-267,-71
232,448,-1269,93,-309,-61
297,449,-1485,191,-418,33
523,441,-1630,77,-317,154
421,22,-1546,-163,-102,160
213,-301,-1426,-192,-38,108
54,-173,-1393,-85,-53,59
60,301,-1649,-63,-128,123
270,388,-1961,-173,29,156
-5,327,-1961,-150,167,199
11,340,-1961,-94,224,347
106,-13,-1961,-140,374,337
-20,-145,-1961,-160,436,300
-381,-329,-1961,-260,436,240
-596,-626,-1830,-278,436,193
-852,-774,-1560,-151,436,162
-1801,-789,-580,99,436,178
-1564,-576,-493,393,349,68
-983,-6,-521,355,436,-169
-1600,81,-736,151,436,-297
-1961,-2,-486,194,436,-308
-1961,497,159,330,436,-266
-1961,1036,345,60,436,-294
-1961,681,90,-353,436,-139
-1912,-49,-333,-436,436,-203
-1961,-442,-390,-360,436,-154
-1961,-411,-203,28,436,24
-1961,280,-248,341,436,83
-1961,597,-183,147,340,5
-1891,232,-324,42,355,-12
-1852,405,-301,-43,295,-122
-1574,134,-328,-182,119,-123
-1375,-158,-499,125,160,127
-1234,155,-517,228,205,134
-1320,645,-408,10,245,-64
-1178,576,-347,-410,205,-185
-1037,-81,-513,-436,212,-175
-1186,-379,-489,-436,178,-207
-1045,-288,-471,-436,20,-268
-879,-216,-484,-348,-39,-251
-800,-126,-486,-281,-3,-167
-833,-192,-545,-252,48,-125
-937,-185,-476,-228,11,-153
-809,-135,-491,-215,-54,-180
-730,-124,-491,-188,-14,-163
-842,-93,-469,-157,20,-152
-896,-81,-451,-121,-10,-143
-813,-16,-442,-84,-13,-131
-848,-3,-417,-69,17,-106
-890,-12,-381,-38,22,-81
-923,48,-360,-12,30,-68
-974,73,-349,-17,8,-54
-956,37,-372,-22,-28,-49
-918,34,-404,-14,-38,-48
-894,41,-415,-3,-37,-37
-888,57,-414,6,-36,-21
-888,67,-447,8,-37,-4
-866,51,-467,-11,-41,3
-821,-5,-473,-29,-33,-6
-834,-10,-474,-33,-13,-15
-850,-35,-453,-29,-13,-9
-808,-65,-432,-15,-6,-1
-823,-62,-412,0,10,6
-862,-22,-416,4,6,11
-831,-46,-418,7,14,22
-875,-64,-417,15,33,34
