accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-1472,249,436,-306,-34
-1961,-1095,-306,436,-436,-41
-1961,-1176,-767,406,-436,-79
-1961,-1151,-875,332,-436,-108
-1961,-1068,-853,334,-436,-71
-1961,-929,-829,340,-436,-35
-1961,-826,-894,309,-436,1
-1610,-913,-913,291,-436,34
-1531,-850,-878,284,-436,24
-1301,-691,-955,256,-436,-11
-980,-651,-979,250,-436,-41
-984,-558,-872,273,-436,-46
-1125,-480,-820,245,-436,-73
-1024,-532,-960,273,-436,-100
-944,-492,-1026,376,-436,-73
-847,-302,-1240,425,-436,-31
-1415,-49,-1579,328,-436,14
-1487,-126,-1961,225,-436,37
-546,-574,-1961,254,-436,43
-778,-277,-1961,436,-252,18
-871,127,-1961,266,-135,93
-713,-659,-1961,-68,-48,109
-744,-619,-1961,-156,-79,106
-726,-657,-1961,-358,-100,126
-638,-700,-1961,-397,-63,134
-648,-415,-1738,-436,18,177
-764,-431,-1127,-436,-6,249
-535,-318,-798,-399,-85,301
-327,-154,-613,-257,-67,399
-293,54,-540,-240,-45,435
-402,-142,-440,-165,-44,417
-337,48,-605,-84,-103,428
-190,4,-767,-40,-49,436
-332,-9,-901,47,37,436
-775,192,-1961,112,436,436
-1961,-733,-1835,436,436,436
-1961,861,1032,436,436,436
-1961,1961,1961,43,436,100
-517,-463,1961,-436,-100,124
323,-1961,1621,-279,-6,109
329,-976,1409,338,124,0
118,165,1641,210,143,26
34,-149,1538,-66,67,16
221,-572,1320,-104,1,-18
169,-554,1068,15,-11,-48
371,-214,899,24,-40,-87
509,-175,719,-56,69,-70
232,-512,711,-69,113,-91
380,-431,600,-1,158,-129
-112,-233,570,20,201,-55
134,-39,424,-61,55,-108
93,59,178,-234,187,-78
39,-306,260,-272,179,-63
14,-440,205,-108,359,14
-442,-263,421,-6,366,-8
-394,-128,350,14,341,39
-502,-92,499,-36,392,52
-673,-236,434,-50,436,102
-1086,-205,533,-61,436,99
-1277,-342,461,-122,436,95
-1425,-543,414,-94,436,102
-1630,-459,462,-129,362,29
-1449,-697,378,-94,256,20
-1492,-353,427,-103,196,-36
-1299,-449,311,-155,42,-36
-1067,-364,274,-97,76,-12
-1263,-42,166,-165,79,11
-1206,-254,-13,-266,-66,54
-906,-388,-107,-240,-42,92
-1054,-281,-169,-221,78,137
-1207,-317,-299,-273,39,155
-953,-558,-432,-314,-28,109
-791,-653,-450,-265,45,75
-901,-580,-369,-190,126,67
-1022,-435,-280,-163,118,42
-1012,-334,-266,-194,58,-9
-940,-245,-311,-241,33,-51
-970,-262,-365,-264,15,-58
-919,-289,-423,-248,0,-52
