accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-1961,628,-59,-234,-436
-1961,-1961,130,21,-256,-436
-1961,-1937,-91,22,-204,-436
-1961,-1820,-381,91,-160,-436
-1961,-1459,-563,219,-190,-436
-1567,-839,-695,261,-213,-436
-1244,-665,-648,215,-146,-436
-959,-386,-576,178,-129,-436
-637,63,-597,124,-86,-436
-251,152,-578,-19,34,-436
-255,29,-430,-54,250,-436
-513,266,-350,-22,315,-436
-484,327,-275,-1,370,-436
-608,507,-206,32,398,-436
-603,650,-115,19,436,-396
-889,543,160,30,436,-368
-1262,838,379,53,436,-356
-1239,1179,627,-9,436,-307
-1832,1815,1386,-43,349,-239
-1961,1961,1841,-100,-31,10
-1540,1892,1186,-209,-323,110
-1422,1119,915,-308,-378,224
-1445,731,524,-230,-436,281
-816,783,71,-250,-436,284
-517,613,-94,-259,-436,324
-289,527,-157,-296,-435,340
21,285,-335,-331,-416,326
291,146,-596,-325,-373,329
503,-304,-963,-303,-286,343
485,-798,-1121,-144,-170,367
751,-1111,-1436,-109,-1,343
582,-1428,-996,-83,265,243
396,-1317,-581,-48,322,173
384,-1620,-382,-133,436,82
-231,-1904,131,-135,436,-26
13,-1961,132,-99,401,-101
-493,-1961,605,-10,436,-187
-943,-1398,992,60,386,-322
-514,-1182,1103,67,372,-329
-1081,-388,1360,52,358,-336
-979,-113,1765,-77,123,-267
-1374,0,1961,-101,-60,-67
-237,-124,987,-101,-150,-35
-27,-345,706,-182,233,-31
-744,-405,808,-221,321,58
-749,-611,986,-189,325,119
-1487,-374,1385,-192,203,186
-1961,-162,1440,-237,-243,278
-1961,-570,1044,-299,-436,340
-1961,-584,192,-342,-436,354
-1961,-834,-463,-434,-436,339
-1961,-871,-1140,-436,-436,282
-1961,-195,-1961,-436,-436,264
-1961,-701,-1942,-436,-436,42
-1827,-831,-1580,-45,-436,97
-929,-945,-1961,89,-436,293
718,-1839,-1704,0,-266,-85
-947,-811,-444,46,348,-186
-830,-774,-184,160,-157,-81
270,-634,-554,218,-90,-90
-3,-492,-363,206,118,-71
79,-439,-327,180,184,-8
-142,-489,-147,120,267,-6
-328,-512,-10,135,230,1
-297,-392,-4,131,184,2
-301,-396,-14,131,184,18
-316,-376,11,169,242,62
-431,-201,11,153,325,88
-674,-201,87,88,365,130
-696,-330,80,58,373,186
-1077,-445,133,24,428,202
-1266,-552,300,38,380,198
-1385,-468,322,-7,304,181
-1378,-737,497,-38,296,163
-1785,-730,710,61,310,180
-1694,-463,671,31,135,165
-1381,-382,546,-72,60,148
-1358,-374,411,-111,11,165
-1233,-433,261,-94,-33,180
