accX,accY,accZ,gyroX,gyroY,gyroZ
-1433,-1750,153,-223,-51,-436
-1608,-1606,-16,-142,-42,-436
-1543,-1906,-202,-146,-54,-436
-1710,-1961,-290,-6,43,-436
-1961,-1961,-465,121,80,-436
-1955,-1961,-448,150,43,-436
-1832,-1961,-381,171,60,-436
-1639,-1526,-346,159,26,-436
-1285,-1196,-299,133,-21,-436
-977,-897,-359,105,-36,-436
-714,-878,-456,21,-5,-436
-627,-982,-411,42,85,-436
-905,-724,-299,85,140,-436
-872,-416,-265,28,97,-436
-742,-384,-176,-24,160,-436
-986,-302,-156,5,259,-436
-1214,-163,-112,-9,299,-436
-1392,-22,-119,36,345,-436
-1717,494,-189,67,413,-436
-1961,1037,-269,-16,376,-436
-1862,1605,-150,-145,302,-436
-1562,1961,344,-286,321,-322
-1961,1961,1498,-362,91,90
-1148,1961,1156,-436,-103,116
-1178,1253,741,-204,18,315
-1600,1492,206,-129,-230,392
-903,1091,-18,-304,-423,400
-460,562,-304,-344,-408,371
-214,126,-330,-281,-324,336
-38,-116,-321,-196,-237,259
-138,-540,-233,-128,-200,119
-103,-683,-252,20,-285,72
319,-558,-359,-66,-263,42
586,-1044,-60,-300,35,-54
184,-1525,507,-344,133,-147
430,-1397,930,-228,101,-245
122,-1017,1383,-224,201,-359
-81,-580,1545,-175,122,-424
-174,-1,1625,-160,142,-434
-450,361,1750,-104,89,-391
-310,1156,1642,10,17,-308
-70,1961,1677,-26,-44,100
-101,1612,1410,-215,115,25
-791,1493,1020,74,54,375
-548,1419,715,22,-23,436
-564,1112,634,-13,208,436
-1086,1069,752,-33,362,436
-1592,959,884,-59,323,436
-1961,429,1009,-7,230,436
-1961,188,838,96,149,436
-1961,637,348,-64,198,436
-1961,-103,-6,-436,327,436
-1961,-1001,-162,-436,72,436
-1264,-1527,158,-436,-188,326
-447,-1441,614,-155,-268,72
-43,-708,417,25,68,-97
-797,-337,755,56,200,-162
-1032,115,587,-17,-65,-159
-680,26,382,-167,-216,-143
-342,-117,302,-179,-155,-143
-235,-41,302,-149,-19,-108
-219,50,378,-188,54,-37
-199,39,301,-269,105,34
-287,-157,340,-332,136,100
-342,-199,236,-369,170,192
-601,-400,251,-408,229,290
-871,-577,282,-415,219,367
-1237,-996,402,-377,231,436
-1403,-1113,309,-294,72,436
-1216,-1079,265,-243,55,410
-1341,-1004,64,-237,96,376
-1391,-1164,108,-199,78,381
-1179,-902,147,-133,117,342
-1296,-658,80,-146,161,301
-1396,-764,69,-157,122,289
-1273,-787,189,-91,96,267
-1307,-536,47,-59,85,209
-1338,-535,-88,-96,-11,154
-1033,-591,-112,-92,-79,93
