accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-1400,-1961,436,-436,-297
-1961,-1641,-1961,436,-436,-212
-1961,-1651,-1961,300,-436,-436
-1961,-1217,-1961,354,-436,-436
-1961,-643,-1961,436,-436,-436
-1961,-336,-1961,436,-436,-436
-1802,22,-1930,436,-436,-436
-1458,211,-1782,409,-436,-436
-1188,278,-1554,355,-436,-436
-1412,421,-1349,301,-363,-436
-1383,560,-1512,213,-312,-436
-1494,568,-1528,195,-146,-436
-1961,744,-1431,341,-61,-436
-1961,1961,-1564,436,-327,-436
-1961,1961,-1961,436,-436,-330
898,1961,-1961,436,-436,436
-336,1961,-1961,-195,436,436
-1961,1937,-1961,-436,436,436
-1876,360,-1795,-436,-254,436
-783,-419,-1220,-390,-395,436
-264,103,-1335,13,-298,436
-31,150,-1652,-26,-181,436
95,-36,-1961,-270,173,436
-622,-1282,-1961,-436,436,436
-850,-1961,-1961,-436,436,326
-534,-1961,-975,-353,436,142
-100,-1961,-424,43,436,52
-299,-1895,-374,-35,436,-164
-1452,-1961,100,-190,436,-378
-1782,-1961,431,69,436,-428
-1702,-1462,458,194,436,-436
-1961,-1244,935,259,436,-436
-1961,-600,1816,436,436,-383
-1961,460,1552,436,182,-112
-1782,1757,1138,377,-52,-94
-1063,1356,776,-92,-146,-81
-830,890,895,42,-49,164
-913,1284,763,243,-66,436
-600,1247,321,94,30,436
-1035,1073,423,-117,210,436
-1222,756,408,-121,189,436
-1327,803,310,-88,218,436
-1574,637,323,-135,195,436
-1592,397,295,-159,119,436
-1460,200,-133,-202,130,436
-1924,366,-207,-240,262,436
-1961,465,-377,-436,208,436
-1961,-1524,-230,-436,132,436
-653,-1961,1573,92,124,431
-1220,-852,1466,232,102,-436
-1053,1413,929,-249,-176,-300
-67,-157,512,-302,-98,66
-144,-923,233,-237,-3,-11
-130,-992,236,-44,87,-148
-558,-542,358,-26,228,-300
-837,-547,283,-50,166,-361
-894,-311,0,39,137,-352
-739,40,125,-8,25,-338
-251,-36,-111,-74,-23,-260
-80,-154,-185,-85,142,-209
-59,-39,-75,-88,360,-192
-602,438,99,-210,436,-131
-945,405,112,-436,436,-25
-994,1,-365,-436,436,121
-1544,-439,-630,-436,436,159
-1961,-896,-900,-436,344,129
-1922,-1029,-1412,-436,-83,48
-1366,-621,-1453,-336,9,215
-1695,-397,-1322,-349,311,350
-1961,-650,-1102,-349,217,399
-1664,-1077,-809,-251,40,414
-1197,-1289,-578,-62,-31,306
-827,-959,-576,67,-98,-5
-864,-404,-737,28,-40,-285
-1012,-57,-796,-118,-7,-411
-869,-8,-695,-257,-11,-395
-767,-248,-575,-282,52,-292
-835,-369,-471,-153,81,-202
-814,-143,-446,-35,62,-170
