accX,accY,accZ,gyroX,gyroY,gyroZ
-1515,-1961,-582,-203,140,-436
-1902,-1961,-940,3,270,-436
-1961,-1961,-1236,302,267,-436
-1961,-1961,-1462,436,223,-436
-1961,-1961,-1716,436,154,-436
-1815,-1961,-1789,436,180,-436
-1915,-1961,-1890,436,108,-436
-1531,-1322,-1939,436,-26,-436
-1072,-960,-1825,436,-68,-436
-847,-688,-1697,436,35,-436
-858,-294,-1664,359,149,-436
-871,-308,-1578,271,289,-436
-946,-271,-1476,248,405,-436
-1061,-58,-1493,216,436,-436
-1170,58,-1579,117,436,-436
-1716,145,-1419,46,436,-436
-1961,798,-1302,26,436,-436
-1961,1416,-721,-108,436,-430
-1961,1961,373,-318,436,-289
-1961,1301,1961,-436,-33,-202
-1961,1050,1080,-254,-412,172
-1961,567,205,-291,-436,188
-1961,744,-647,-216,-436,244
-1132,294,-927,-67,-436,378
-448,228,-1187,-81,-436,265
180,228,-1961,-38,-436,183
1610,226,-1961,-345,-436,196
1812,-973,-1961,-436,20,111
1448,-1747,-1766,-436,280,-11
1353,-1961,-885,-436,436,-187
556,-1961,-137,-436,436,-369
69,-1961,100,-436,436,-436
-831,-1961,656,-221,436,-436
-1850,-1608,1387,-103,436,-436
-1961,-1014,1681,-129,393,-353
-1866,-160,1619,78,273,-152
-1961,760,1961,195,231,119
-1961,1086,1539,-71,-161,250
-1961,1249,973,-24,-256,436
-1961,1338,544,-89,-163,436
-1961,348,6,-319,-225,436
-1961,-451,285,-304,-203,436
-1961,-1239,-127,-153,-436,436
-1603,-1184,-113,-32,-154,436
-1961,-888,318,-333,220,436
-1961,-1415,-1068,-436,-436,436
-979,-1961,-1538,-436,-436,239
931,-1961,-624,-14,-436,67
324,-683,348,243,354,-96
-863,402,905,-171,110,-35
-89,-30,343,-417,-195,-9
120,209,-242,-436,-81,-28
-90,-128,-431,-436,-10,-1
-19,-337,-398,-436,1,75
-128,-515,-285,-265,129,174
-370,-385,-169,-82,256,266
-744,-152,-187,-274,301,201
-939,-681,-226,-412,157,184
-890,-995,-364,-357,84,197
-958,-892,-560,-245,54,212
-1056,-967,-564,-188,32,285
-1159,-860,-630,-221,-1,304
-1188,-1243,-610,-232,-86,348
-1221,-1356,-750,-169,-68,372
-1262,-1424,-772,-162,-116,301
-1123,-1367,-761,-153,-129,226
-1060,-1357,-683,-54,-149,190
-689,-991,-582,-19,-96,121
-764,-839,-438,-88,76,81
-1041,-837,-376,-44,69,52
-925,-667,-382,37,-23,32
-769,-440,-391,59,0,37
-846,-327,-316,-7,55,18
-909,-289,-275,-81,39,-17
-936,-318,-246,-116,21,-33
-977,-323,-250,-73,-6,-24
-957,-250,-324,-20,-31,-15
-868,-206,-363,-11,-38,0
-798,-260,-335,-19,-12,-1
-847,-207,-324,-25,4,-16
