accX,accY,accZ,gyroX,gyroY,gyroZ
-1030,-417,-218,-25,-143,71
-862,-417,-266,59,-107,47
-687,-254,-290,78,-91,36
-493,-420,-344,65,-81,13
-309,-510,-479,92,-33,-22
-148,-577,-604,126,61,-60
-234,-465,-685,164,149,-102
-216,-302,-758,178,240,-126
-353,-274,-707,116,298,-161
-319,-341,-795,121,326,-174
-562,-346,-847,111,425,-202
-699,-217,-982,83,370,-237
-891,-289,-1325,-4,436,-288
-1188,-428,-1603,-34,420,-317
-1339,-341,-1502,-54,390,-344
-1636,-124,-1090,-47,371,-295
-1948,151,-704,-20,283,-199
-1961,-117,-395,-2,185,-119
-1961,30,-89,-23,61,-80
-1961,-51,-171,-23,-104,-20
-1638,-25,-606,-50,-203,33
-1237,-370,-1033,-38,-258,125
-941,-656,-1392,19,-317,210
-397,-687,-1581,25,-314,234
-267,-835,-1471,6,-252,206
200,-779,-1506,18,-304,156
726,-670,-1547,-8,-209,101
961,-826,-1562,14,-92,49
1109,-793,-1749,-12,47,-50
763,-902,-1709,-55,258,-148
235,-879,-1523,-46,368,-199
-175,-761,-1507,-53,400,-240
-859,-936,-1554,-138,436,-289
-1579,-887,-1199,-43,413,-213
-1961,-811,-949,-7,266,-187
-1961,-305,-225,32,237,-123
-1961,28,166,92,17,-20
-1961,267,21,24,-146,18
-1907,-60,-397,-23,-283,76
-1282,-394,-1271,-22,-419,122
-724,-703,-1815,-41,-436,106
-375,-758,-1731,34,-352,155
41,-458,-1583,68,-365,176
490,-294,-1436,-6,-223,147
427,-348,-1075,-49,-111,128
542,-595,-1325,2,-105,137
920,-958,-1920,-6,-16,39
747,-949,-1961,0,225,-47
319,-773,-1862,35,344,-109
-45,-638,-1790,-11,429,-180
-576,-792,-1705,-26,436,-197
-1079,-678,-1335,-15,436,-180
-1961,-949,-763,6,340,-176
-1567,-176,-976,40,138,-161
-1961,-407,-616,10,184,-82
-1961,-52,-215,97,-1,20
-1961,50,-81,35,-132,54
-1599,5,-546,25,-306,119
-1244,-167,-1187,-16,-391,152
-1002,-250,-1610,-68,-409,139
-957,-274,-1758,-82,-425,136
-775,-267,-1793,-74,-436,146
-569,-181,-1714,-77,-436,146
-359,-176,-1614,-111,-387,135
-230,-283,-1434,-126,-343,103
-87,-400,-1217,-86,-276,88
-21,-381,-996,-48,-203,79
-82,-217,-829,-68,-172,44
-130,-242,-729,-127,-138,-17
-327,-249,-550,-129,-82,-19
-602,-291,-368,-108,-59,20
-736,-426,-238,-21,-34,88
-815,-464,-151,59,26,65
-1005,-438,20,135,72,14
-1158,-316,138,237,77,3
-1138,-5,212,251,48,-33
-1173,91,333,205,35,-45
-1117,100,333,218,-27,-11
-961,195,204,199,-60,2
