accX,accY,accZ,gyroX,gyroY,gyroZ
345,-133,-1961,88,436,-18
-11,-136,-1961,12,436,-63
-577,-437,-1961,68,436,-25
-1079,-261,-1961,52,436,-73
-1860,-565,-1961,105,436,-64
-1961,-249,-1961,149,264,-41
-1961,-147,-1961,33,180,-124
-1961,143,-1460,5,-5,-55
-1663,332,-1011,-26,-211,54
-1312,128,-1204,-77,-436,154
-666,-218,-1793,-105,-436,259
234,-859,-1961,-172,-436,217
1961,-1192,-1961,-83,-436,193
1753,-1170,-1961,-141,-159,92
1961,-1013,-1961,1,63,19
1684,-801,-1629,73,306,-19
943,-487,-1461,108,405,-47
580,-440,-1794,106,436,-77
68,-365,-1961,74,436,-108
-618,-398,-1961,90,436,-67
-1879,-366,-1935,131,415,-81
-1961,-445,-1921,121,198,-38
-1961,-54,-1616,115,113,-64
-1961,213,-996,79,-83,-32
-1868,582,-811,1,-275,28
-1395,254,-1443,-54,-436,103
-510,-339,-1961,-107,-436,156
146,-591,-1961,-187,-436,71
732,-726,-1961,-138,-436,64
1774,-796,-1961,-66,-391,69
1812,-858,-1926,-69,-67,20
1874,-681,-1661,5,145,3
1385,-642,-1299,72,277,3
1039,-494,-1451,73,378,-46
662,-475,-1758,42,436,-86
121,-544,-1961,58,436,-61
-702,-367,-1744,77,436,-15
-1323,-368,-1655,35,436,-6
-1265,-224,-1630,90,208,87
-1678,-35,-1410,70,105,26
-1517,-2,-1223,9,-53,9
-1393,12,-1151,-25,-192,0
-967,-33,-1262,-74,-364,-6
-606,-164,-1568,-90,-436,21
-223,-215,-1896,-119,-436,19
74,-52,-1961,-146,-436,32
42,-5,-1877,-162,-436,51
65,-148,-1836,-139,-436,104
147,-148,-1699,-97,-436,140
39,-149,-1391,-138,-436,89
-189,-264,-1174,-128,-436,56
-176,-56,-1055,-69,-436,84
-218,-89,-817,-113,-355,87
-444,-144,-544,-137,-279,70
-619,-144,-422,-160,-239,29
-609,-256,-252,-154,-177,34
-532,-220,-97,-127,-6,44
-794,-270,78,-155,156,30
-1056,-421,199,-104,104,32
-880,-348,215,-15,93,21
-1056,-231,229,23,101,16
-1071,-164,176,58,32,26
-1037,-143,117,85,-3,21
-987,-119,84,122,-6,9
-964,-5,58,129,12,-12
-971,102,41,88,10,-40
-929,134,33,40,9,-65
-966,113,48,31,13,-67
-1062,134,2,43,-11,-42
-1075,82,-50,47,-50,-25
-998,102,-107,42,-44,-28
-983,89,-111,17,-52,-27
-907,61,-90,13,-44,-33
-900,100,-78,1,-23,-38
-903,64,-79,-7,-8,-30
-928,33,-81,-2,2,-19
-922,-3,-86,5,7,-9
-935,-14,-77,14,13,-4
-938,-31,-71,10,3,-3
