accX,accY,accZ,gyroX,gyroY,gyroZ
-1744,650,-161,-411,-78,-88
-1850,410,-303,-301,-198,-91
-1740,443,-364,-179,-271,-28
-1638,383,-506,-182,-331,-27
-1396,178,-494,-159,-357,-4
-1234,-16,-379,-90,-341,88
-1147,-286,-203,-74,-436,169
-537,-1121,-662,136,-436,378
215,-1413,-895,319,-436,364
560,-1298,-816,95,-143,70
206,-1835,-669,-122,218,-126
-245,-1824,-639,182,260,-247
-504,-988,-875,417,179,-300
-517,-490,-1056,370,98,-361
-696,-168,-1319,268,177,-436
-859,212,-1343,80,138,-436
-765,47,-1859,-110,436,-353
-1961,74,-1961,-194,436,-274
-1961,-563,-1513,-190,436,-131
-1961,-76,-1296,170,436,-4
-1961,889,-1540,92,436,-44
-1961,477,-607,89,436,-2
-1961,655,45,197,-138,22
-1708,531,-434,-32,-436,-110
-830,89,-767,-198,-436,-211
-411,-489,-1436,-178,-436,-37
1123,-752,-1961,-60,-436,45
1961,-814,-1961,-111,-42,102
813,-984,-1367,-28,199,104
958,-609,-1618,-7,7,-37
599,-427,-1881,-190,308,-120
-235,-962,-1961,-34,436,-59
-1126,-384,-1961,-85,436,-101
-1961,-495,-1345,-115,436,-9
-1961,-227,-272,50,436,207
-1961,-172,-40,14,-19,49
-1961,-109,-514,-35,-348,-148
-1961,-315,-971,-7,-436,-69
-984,-463,-1576,76,-436,57
-308,-588,-1750,72,-436,66
98,-515,-1694,104,-436,81
426,-438,-1557,131,-413,127
860,-384,-1715,123,-325,99
1132,-425,-1742,-1,-52,29
644,-679,-1512,8,243,4
260,-435,-1538,-16,334,-67
-108,-566,-1468,-122,436,-108
-677,-705,-1490,-61,436,-80
-1056,-652,-1592,-93,436,-67
-1517,-744,-1352,-91,436,7
-1961,-908,-721,-61,436,97
-1961,-499,-636,72,-153,-87
-1961,329,-836,25,-154,-169
-1961,229,-574,-57,-245,-99
-1661,23,-1227,32,-436,65
-1134,123,-1493,-6,-436,133
-997,-279,-1764,-177,-436,35
-488,-480,-1892,-26,-436,124
110,-471,-1613,9,-436,164
155,-420,-1140,-35,-186,78
-180,-429,-781,-36,-109,9
-109,-365,-597,19,-176,0
114,-317,-590,93,-150,9
-14,-97,-484,128,36,39
-409,-85,-272,111,92,61
-531,-84,-259,108,4,43
-463,-47,-328,86,-21,3
-450,28,-291,45,5,-34
-510,163,-324,-36,83,-66
-707,151,-280,-142,138,-65
-919,85,-234,-188,161,-23
-1473,56,-195,-181,103,25
-1230,91,-579,-253,118,68
-1382,-263,-754,-312,267,138
-1482,-818,-571,-98,331,249
-1460,-813,25,355,394,264
-1961,368,914,55,4,47
-1338,-24,-283,267,-436,11
-669,167,-665,269,-349,-126
