accX,accY,accZ,gyroX,gyroY,gyroZ
-1872,-175,1063,-112,-221,-49
-1961,-109,628,-142,-242,-76
-1874,-220,84,-182,-342,-77
-1240,-333,-625,-134,-289,-63
-844,-495,-1284,-91,-270,-55
99,-659,-1961,71,-304,-39
1105,-584,-1961,223,-182,-11
1961,-350,-1961,251,79,-34
1961,16,-1961,-40,436,-171
1185,-31,-1961,-63,436,-134
-449,452,-1961,16,436,-28
-1302,192,-1961,-60,436,-62
-1824,606,-1961,-253,436,-73
-1961,-1083,-1961,-69,436,276
-1961,-754,-1961,32,436,-36
-1961,-1293,-1579,-4,436,-85
-1961,-591,-1032,130,-229,-51
-1961,-730,-1895,-113,-436,-218
-1961,-682,-1961,129,-436,-107
-493,-468,-1961,216,-436,-67
913,-1,-1961,208,-436,-4
1394,318,-1961,201,-436,51
1961,467,-1961,82,-436,8
1961,278,-1961,-3,264,7
1961,590,-1961,-104,431,-91
881,230,-1961,-228,436,-54
44,217,-1961,-169,436,27
-782,327,-1961,-306,436,83
-1961,-811,-1961,-300,436,228
-1961,-1772,-1961,-37,436,228
-1961,-1888,-1218,108,263,46
-1961,-515,-361,32,-208,-216
-1961,-603,-1336,36,-436,-221
-1961,-314,-1961,112,-436,-163
-679,-386,-1961,141,-436,-152
237,-182,-1961,292,-436,-37
1113,404,-1961,185,-436,-67
1961,480,-1961,120,-436,-47
1961,702,-1961,78,80,-1
1961,837,-1961,-50,312,-66
1213,773,-1961,-179,436,-47
600,601,-1961,-205,436,45
-284,676,-1961,-298,436,140
-1520,21,-1961,-364,436,260
-1961,-1634,-1961,-43,436,436
-1961,-1961,-1828,166,436,243
-1961,-947,24,63,41,-187
-1961,-218,-548,-73,-436,-380
-1961,-165,-1961,132,-436,-102
-1601,-64,-1961,128,-436,-2
-1509,-448,-1961,88,-436,-28
-1502,-176,-1961,271,-436,-17
-942,512,-1961,24,-436,-51
-827,-138,-1961,-69,-436,-12
-651,-213,-1575,78,-436,-2
-230,9,-1292,113,-436,33
134,76,-1112,-20,-324,51
168,-115,-857,-136,-41,37
-124,-282,-513,-136,118,56
-206,-330,-333,-87,124,70
-202,-317,-343,-37,189,51
-411,-245,-260,-16,240,39
-562,-273,-190,-27,279,47
-880,-347,-60,-23,283,59
-1031,-408,-34,0,217,84
-1080,-375,19,-37,198,54
-1197,-465,135,-56,184,46
-1266,-520,235,-34,180,73
-1198,-572,302,-43,151,52
-1222,-683,411,-6,150,31
-1387,-418,322,20,55,0
-1151,-339,118,26,-57,0
-804,-321,-21,31,-22,32
-867,-330,-79,27,37,37
-993,-344,-117,40,14,13
-1001,-178,-213,37,0,5
-998,-140,-284,-2,-16,-3
-852,-165,-298,-48,-32,-18
-837,-215,-305,-50,1,-12
