accX,accY,accZ,gyroX,gyroY,gyroZ
1961,-606,-1961,-85,-436,436
1208,-755,-749,-78,436,-45
-1961,-137,1961,-61,436,-129
-566,13,827,127,-436,-32
538,251,57,18,-101,-48
-418,19,752,-57,269,-55
-832,19,1137,23,-6,-33
-165,157,725,40,-72,-19
-360,137,840,-2,71,-19
-545,181,1041,7,51,-5
-660,252,1188,13,92,-1
-913,362,1349,23,104,11
-794,348,1199,2,50,54
-401,40,861,-19,3,43
-146,-100,585,39,-47,-17
116,-58,309,92,-90,-71
169,25,274,83,-18,-77
-56,-25,485,52,20,-63
-228,-226,825,32,41,-116
-957,-405,1514,106,66,-253
-1614,22,1961,0,-212,-351
-1143,-384,1961,-177,-435,-436
-1225,-289,1961,-160,-436,-436
-1172,434,1961,-181,-436,-436
42,304,1263,-278,-436,-341
122,281,993,-347,-436,-255
-111,143,536,-353,-436,-178
121,292,17,-304,-430,-158
138,340,-351,-274,-319,-153
185,340,-601,-216,-288,-163
466,193,-757,-125,-350,-207
1044,67,-915,-14,-386,-245
1502,32,-1002,7,-252,-195
1271,-111,-762,28,-148,-189
1334,83,-797,120,-128,-151
1324,198,-488,128,-37,-80
825,155,-195,167,138,-111
202,423,433,227,160,-149
408,463,749,269,367,-75
-405,486,1853,295,436,66
-19,-148,1961,281,220,169
1852,-718,719,170,-70,266
323,-622,415,-61,358,-126
-578,442,443,211,-176,-232
1621,890,-306,150,-200,0
810,125,366,-77,342,107
269,-215,755,-3,78,11
786,155,469,-6,-33,-41
675,116,564,-71,27,-69
622,271,605,-101,-13,-68
610,164,483,-193,35,-34
514,2,356,-225,169,-59
254,-107,317,-234,300,-88
153,-170,349,-194,387,-132
14,158,342,-177,436,-151
-203,136,317,-218,436,-94
-409,202,572,-236,436,-11
-5,-8,657,-240,434,9
-263,160,527,-236,436,124
-803,-104,787,-329,436,205
-1072,-532,1035,-264,436,234
-1090,-266,811,-244,427,269
-1116,-559,736,-299,399,269
-1456,-698,750,-209,356,278
-1406,-342,557,-177,301,269
-1514,-316,479,-275,316,251
-1678,-537,509,-300,250,234
-1475,-592,426,-263,130,214
-1316,-493,364,-219,56,188
-1171,-336,283,-181,6,184
-1106,-580,177,-160,38,144
-1097,-556,162,4,-1,94
-1033,-374,108,110,-6,25
-1042,-132,72,139,-31,-24
-969,29,40,97,-42,-46
-937,92,40,40,-38,-54
-934,152,51,-9,-43,-51
-947,177,41,-42,-55,-30
-973,148,24,-44,-77,-2
