accX,accY,accZ,gyroX,gyroY,gyroZ
-331,-543,778,59,-33,8
129,-221,446,54,35,-48
-246,-244,649,40,44,-32
-112,-196,682,17,20,-10
-191,-270,783,3,25,13
-190,-329,876,1,32,7
-264,-318,942,-2,26,-9
-227,-275,917,-6,29,-10
-254,-301,948,-14,35,-18
-252,-291,914,-8,28,-33
-161,-258,789,-9,31,-44
-108,-286,694,-19,54,-57
-55,-261,690,-49,85,-72
-78,-447,670,-65,146,-90
-320,-541,744,0,237,-124
-541,-525,1038,30,207,-161
-724,-525,1069,61,135,-199
-821,-422,1202,76,111,-187
-1175,-469,1454,50,-88,-174
-513,-659,1345,27,-197,-184
-389,-753,1390,2,-119,-170
-552,-915,1483,-6,-130,-193
-227,-917,1401,29,-253,-184
218,-685,1034,43,-205,-173
47,-263,790,-26,-96,-163
-122,-222,670,-86,-190,-161
56,-196,395,-103,-281,-136
162,-267,242,-148,-277,-186
69,-221,201,-124,-320,-241
271,-115,30,-114,-436,-242
814,-164,-179,-95,-436,-208
1232,-211,-301,-109,-315,-179
1084,-256,-106,-141,-204,-185
1206,-269,-139,-121,-189,-146
1381,-488,-91,-129,-54,-137
932,-509,212,-48,2,-124
822,-403,68,44,-47,-108
915,-382,-56,68,29,-153
448,-95,295,151,38,-260
487,386,231,203,-9,-192
717,208,398,129,181,-7
455,39,894,189,327,56
178,92,1196,206,310,63
307,167,1189,221,217,94
435,4,1031,61,110,158
974,-273,788,-5,50,172
601,-143,734,-111,19,122
625,-368,646,-52,-40,-11
744,-75,453,46,-33,-108
909,65,523,36,36,-107
719,169,700,0,27,-50
784,88,639,-33,-10,-2
842,-18,608,-36,0,2
765,-22,665,-41,6,-9
742,-59,699,-35,-19,-35
773,0,659,-41,-34,-45
918,-17,603,-58,-6,-15
707,14,709,-126,83,46
290,-12,1074,-159,45,58
263,-135,1018,-245,-64,52
484,-358,879,-205,-51,13
200,-242,975,-181,-83,-60
362,-283,814,-118,-208,-94
771,-125,371,-74,-192,-76
756,-27,294,-96,-90,-44
580,2,175,-120,-73,0
532,-138,-44,-118,-116,57
662,-181,-209,-71,-108,90
654,-18,-398,-65,-50,112
445,34,-439,-134,21,175
432,-212,-410,-126,60,255
554,-280,-281,0,192,274
533,-214,145,182,358,284
77,111,570,136,406,377
-48,-632,1019,-20,320,429
118,-1223,996,63,217,436
233,-1274,910,112,257,436
-30,-1107,951,82,325,436
-99,-1237,925,107,362,436
