accX,accY,accZ,gyroX,gyroY,gyroZ
-800,217,455,-96,-436,100
-935,222,633,-65,-362,111
-757,446,810,-91,-250,129
-709,194,790,-164,-218,129
-255,-142,469,-84,-193,108
-202,-54,353,-12,-112,37
-172,92,461,21,-101,20
-45,-26,332,17,-49,15
-247,59,435,42,-3,24
-342,103,484,0,12,14
-424,99,632,0,46,10
-586,198,775,6,38,-14
-455,205,644,36,51,-49
-512,308,659,43,78,-43
-396,237,605,-17,108,-39
-427,93,565,-38,147,-69
-435,-21,533,15,186,-68
-197,-46,302,14,284,-112
-536,-21,260,-52,436,-158
-658,-211,188,-32,436,-168
-508,-93,-259,8,436,-157
-1397,-99,-102,-13,436,-122
-1100,-50,-471,-102,436,-220
-1319,-34,-980,-130,436,-191
-1961,-66,-754,-53,436,-34
-1711,-63,-429,91,335,93
-1961,-204,159,318,-165,205
-905,-61,-548,185,-189,171
-653,-84,-509,195,-85,203
-1232,-472,-232,106,-174,24
-1352,-877,-175,75,-436,-111
-1408,-1032,-204,114,-436,-263
-1961,-1030,-315,173,-436,-327
-1946,-1020,-405,194,-436,-343
-1675,-1376,-84,252,-436,-256
-987,-835,67,-20,-436,-436
80,-1307,472,-364,-436,-436
-91,-1567,945,-172,-303,-436
-495,-862,833,66,-290,-436
-527,-244,593,159,-369,-436
-214,-5,328,199,-436,-436
77,-113,42,285,-436,-436
455,-31,-204,314,-417,-350
927,101,-263,189,-254,-277
774,25,-72,112,5,-225
333,91,0,199,50,-154
362,419,-111,195,58,-66
209,408,-99,68,226,21
0,-81,-153,91,380,85
115,-453,319,436,418,-55
245,1846,1262,436,436,32
-129,1176,1910,-363,50,301
514,-1071,578,-318,-301,130
1612,-271,24,146,-135,-8
1216,737,641,-92,285,-55
-73,206,1377,-132,80,48
565,-53,692,-73,-153,-5
816,94,325,-36,-66,-46
570,116,515,-42,51,-45
403,189,560,-66,53,-8
457,126,370,-156,126,18
297,-42,284,-264,243,-18
166,-524,161,-221,381,-97
-141,-411,143,-56,436,-140
-65,-213,123,-46,338,-225
201,4,-97,-30,436,-258
-71,444,-120,-58,436,-4
-414,121,-22,-201,436,50
-974,215,51,-202,436,90
-1476,-124,81,-379,436,168
-1679,-797,557,-348,436,45
-1742,-472,409,-335,366,-21
-1615,-619,105,-316,314,30
-1601,-334,-97,-286,397,125
-1679,-332,-418,-416,421,112
-1667,-521,-699,-436,358,22
-1597,-778,-776,-436,306,-23
-1416,-933,-597,-408,292,19
-1285,-990,-452,-180,281,81
