accX,accY,accZ,gyroX,gyroY,gyroZ
310,322,-156,63,-246,-7
37,66,-53,1,-58,71
-101,-140,447,-31,24,79
-360,-379,682,-4,-1,1
-340,-164,812,38,-18,-65
-616,28,1221,-44,6,-63
-490,-292,1158,-209,-106,-28
-273,-785,1501,-359,-36,-85
-1292,-1182,1961,-436,2,-265
-979,-1401,1961,-387,-284,-436
-602,-1118,1857,-379,-251,-436
-322,-729,1373,-369,-285,-436
-96,-589,943,-327,-268,-436
-506,-99,744,-190,-269,-436
-480,430,299,-112,-436,-436
128,393,-74,-154,-436,-407
132,320,-451,-196,-308,-301
232,455,-789,-159,-323,-187
709,76,-998,-138,-243,-115
1032,-254,-804,-104,-146,-76
1051,-240,-855,-91,-36,-77
699,-177,-918,-83,-44,-110
911,-286,-1103,-20,-189,-137
1177,-10,-1298,61,-34,-152
1097,304,-919,27,146,1
972,-124,-356,3,388,22
292,45,504,149,420,-32
368,-43,824,77,436,12
-222,-183,900,262,436,-106
-137,95,1961,350,436,-155
422,637,1961,-41,-63,65
687,-710,832,-239,-300,0
771,78,699,-33,-248,-136
387,474,913,-169,-224,-28
679,-279,521,-202,-248,25
792,-276,633,-76,-134,-57
767,53,593,-123,-81,-65
704,-30,513,-158,12,0
659,-102,308,-101,-157,-86
982,407,-422,-12,-230,-70
1435,467,-688,-55,-166,-48
1380,690,-763,39,-110,-31
1481,876,-839,17,-106,163
1088,181,-665,-125,85,267
512,-582,-442,-4,153,124
341,-73,-327,192,-19,13
698,337,-628,87,91,84
539,-37,-347,1,256,154
630,-151,-328,52,436,225
-108,297,-300,51,436,277
14,120,-161,-51,403,344
17,207,-227,-114,436,436
-684,-539,391,-201,436,436
-490,-627,537,34,436,436
-403,-565,673,47,436,427
-382,-400,615,127,436,436
-1961,-397,1090,-171,436,377
-1657,-867,687,127,267,376
-1539,1961,518,-170,436,436
-1961,-1459,149,-436,436,436
-1961,-1961,71,-210,-73,436
-960,-1292,-201,-246,-46,107
-1038,-1000,-119,-186,170,-87
-1364,-444,32,9,155,-164
-996,170,-155,64,34,-104
-729,133,-218,-89,46,-36
-850,-159,-205,-157,107,-15
-903,-310,-268,-132,103,-19
-933,-424,-225,-24,110,-2
-905,-241,-293,53,112,-5
-969,-84,-262,14,116,-13
-1040,-125,-132,-20,34,-2
-907,-133,-199,-37,6,-3
-896,-158,-260,-53,23,2
-923,-234,-257,-56,30,3
-929,-238,-279,-39,15,-7
-889,-233,-323,-20,15,-6
-916,-190,-312,2,11,-2
-898,-172,-329,12,-13,3
