accX,accY,accZ,gyroX,gyroY,gyroZ
-1752,-1450,688,-68,-218,-436
-1516,-1214,535,-114,-314,-436
-1414,-1428,494,-76,-243,-436
-1456,-1086,377,-52,-270,-436
-1073,-1100,218,-81,-280,-436
-913,-945,170,-40,-219,-436
-734,-791,97,-48,-244,-436
-475,-703,-32,-36,-219,-436
-369,-600,-25,-60,-180,-436
-353,-578,13,-90,-132,-436
-359,-367,69,-95,-167,-436
-209,-236,49,-86,-154,-436
-123,562,-101,20,-195,-436
211,1284,-494,-31,-212,-353
612,1435,-880,-18,-115,-214
738,1528,-1121,-11,73,-14
702,943,-948,-97,207,126
622,309,-619,-68,314,173
513,-153,-331,-15,305,169
712,-243,-319,0,319,132
631,-661,-71,-56,363,68
686,-675,80,11,379,12
581,-615,297,-10,406,-54
525,-441,445,-17,436,-105
253,-306,551,-122,436,-123
154,-943,943,-129,436,-159
-244,-480,1221,37,436,-201
-357,-95,1138,-141,275,-244
54,-72,958,-152,242,-247
-238,263,1414,30,392,-202
-676,1113,1775,20,185,-159
-212,1636,1771,-112,-20,-25
-162,670,1691,-115,45,96
-345,814,1463,152,-33,218
-314,1055,1146,-14,-74,305
-379,380,1094,-89,-95,344
-367,139,1058,119,-97,395
-281,514,950,73,-48,424
-432,1,1042,-17,-10,436
-298,137,1004,-4,-19,436
-482,-42,1151,-230,98,436
-800,-884,1382,-193,-49,372
-396,-271,948,44,-251,382
-257,64,560,-52,-123,421
-655,-267,467,-1,-44,436
-695,-302,170,54,-51,436
-448,-836,362,31,82,426
-598,-985,876,109,109,325
-357,-1424,963,43,-15,144
-197,-836,720,124,-74,-46
-24,-170,571,107,-110,-80
251,-70,556,86,-29,-60
59,-45,629,41,89,-44
-61,-95,592,4,75,-63
-57,-99,466,-30,101,-94
-137,-149,448,-37,166,-112
-285,-65,445,-20,235,-121
-397,35,423,-63,244,-131
-481,-133,425,-84,305,-112
-619,-24,501,-66,279,-96
-520,-95,460,-100,263,-71
-690,-113,545,-98,330,-31
-712,-48,497,-138,325,-10
-944,-194,491,-253,354,2
-1095,-293,527,-273,262,19
-1046,-304,351,-364,236,34
-1101,-410,294,-436,221,5
-1126,-437,21,-436,199,-4
-1296,-767,-36,-436,133,21
-1325,-992,-11,-436,-58,107
-1222,-933,-122,-236,-160,212
-1151,-787,-117,-83,-155,269
-1010,-669,-83,-6,-107,246
-937,-558,-62,53,-1,196
-1102,-467,7,97,88,164
-1422,-425,340,24,38,87
-1357,-473,286,72,-155,12
-771,-253,-51,160,-173,98
-778,-250,-33,150,8,61
-953,-43,106,98,34,29
