accX,accY,accZ,gyroX,gyroY,gyroZ
-1167,-1279,-289,-53,16,-423
-1257,-1575,-283,-75,45,-436
-1343,-1662,-318,-54,71,-436
-1377,-1773,-292,-59,82,-436
-1418,-1823,-296,-13,93,-436
-1403,-1728,-277,-1,104,-436
-1408,-1640,-277,14,96,-436
-1199,-1458,-229,41,80,-436
-1026,-1213,-236,11,60,-436
-689,-1132,-181,13,47,-436
-575,-815,-181,18,47,-436
-382,-702,-151,-15,5,-436
-209,-552,-92,-16,0,-436
-188,-267,-75,-13,-6,-436
-62,-106,-43,13,-9,-436
-71,331,-90,55,14,-412
-80,748,-87,30,-18,-338
51,1130,-170,0,-103,-244
386,1304,-394,-66,-118,-129
570,1402,-561,-102,-4,-6
601,1354,-740,-187,110,130
594,853,-861,-187,220,236
467,291,-938,-136,350,245
321,-138,-841,-15,436,227
186,-408,-663,-1,436,208
19,-864,-342,38,436,149
-388,-695,-82,88,436,72
-848,-592,523,73,436,-12
-1160,-397,1138,119,436,-76
-1495,196,1647,143,436,-120
-1267,703,1961,64,375,-129
-1032,1032,1961,2,192,-75
-788,1061,1750,-56,64,5
-718,1067,1455,-74,-3,102
-680,1017,1160,-102,-75,194
-555,946,879,-112,-115,282
-445,870,691,-107,-91,364
-539,680,674,-119,-34,435
-582,432,686,-94,-25,436
-595,308,720,-37,22,436
-734,352,762,-39,99,436
-1036,289,859,-100,144,436
-1292,111,904,-148,92,436
-1206,-36,776,-206,15,436
-1024,-360,588,-277,-12,422
-778,-786,605,-204,-51,347
-484,-1038,706,-83,-59,245
-347,-907,739,19,-55,119
-281,-452,715,12,-94,-13
-123,-69,604,-113,-107,-95
-18,-230,600,-183,-29,-102
-194,-313,656,-125,24,-123
-386,-119,605,-68,-6,-138
-349,47,466,-71,-115,-124
-39,20,356,-81,-155,-86
189,0,284,-82,-16,-31
20,-2,354,-98,156,5
-185,24,400,-124,196,40
-206,-51,446,-138,229,74
-365,121,309,-211,333,123
-636,-146,303,-322,372,176
-838,-462,410,-254,343,234
-1012,-412,320,-163,359,290
-1266,-579,361,-114,337,333
-1161,-446,483,-4,417,330
-1754,-94,307,-48,436,320
-1961,-268,243,-213,381,353
-1822,-531,326,-227,336,335
-1860,-320,149,-262,321,258
-1848,-484,25,-354,173,202
-1434,-621,-11,-352,57,149
-1147,-696,-54,-301,48,71
-1045,-607,-59,-224,69,-9
-1049,-459,-36,-147,82,-68
-1092,-303,-30,-101,72,-98
-1126,-201,-51,-77,41,-105
-1086,-96,-83,-66,-6,-105
-993,-75,-105,-64,-37,-105
-950,-45,-113,-40,-39,-100
