accX,accY,accZ,gyroX,gyroY,gyroZ
-1497,-1944,-322,111,-229,-436
-1869,-1961,-437,254,-245,-436
-1861,-1961,-607,248,-292,-436
-1927,-1961,-712,281,-235,-436
-1961,-1896,-753,339,-211,-436
-1650,-1303,-673,401,-221,-436
-1415,-795,-560,436,-162,-436
-1256,-292,-476,436,-201,-436
-836,123,-428,391,-306,-436
-429,315,-357,314,-348,-436
-172,471,-259,194,-358,-436
50,436,-173,73,-309,-427
193,483,-166,79,-282,-322
427,546,-222,74,-240,-230
586,641,-222,34,-136,-195
640,635,-184,13,-66,-143
678,748,-139,38,-64,-98
849,888,-255,38,-101,-48
1007,1040,-483,-38,-70,0
1075,848,-766,-181,-39,53
1179,460,-952,-182,82,78
968,321,-941,-152,251,87
829,47,-807,-154,347,56
727,-111,-608,-172,436,27
309,-281,-191,-204,436,-27
37,-327,120,-203,436,-67
-216,-184,305,-255,436,-108
-255,-367,436,-277,436,-141
-329,-298,550,-248,436,-158
-625,-471,826,-105,436,-127
-1327,84,1446,116,436,-92
-1734,943,1961,61,344,-118
-1572,1961,1818,-152,100,-1
-1496,1112,1083,-245,-95,245
-985,616,596,-52,-129,436
-756,467,407,-67,-28,436
-789,44,383,-39,46,436
-712,206,338,-12,151,436
-1046,209,464,-71,226,436
-1116,82,553,-164,209,436
-1192,52,602,-182,172,417
-1089,90,345,-196,154,412
-1007,-128,439,-276,165,360
-970,-418,683,-256,126,305
-747,-544,767,-226,79,252
-614,-993,1003,-192,81,197
-506,-1001,1174,-37,37,69
-517,-229,1015,35,6,-24
-429,151,766,-122,-41,-56
-246,-187,634,-190,-16,-56
-297,-244,627,-118,46,-54
-373,-41,573,-152,43,-123
-250,-77,395,-216,39,-149
-175,-167,166,-241,119,-165
-375,-206,148,-267,180,-219
-403,-247,126,-257,118,-235
-403,-235,135,-239,127,-249
-663,-366,312,-222,125,-304
-544,-215,327,-233,55,-250
-669,-207,65,-311,107,-98
-594,-337,-140,-436,80,6
-689,-817,-122,-436,193,124
-1123,-1371,-87,-378,195,246
-920,-1225,-316,-171,89,295
-994,-946,-244,-139,228,316
-1233,-734,-218,-251,256,255
-1209,-834,-486,-397,100,124
-1116,-1104,-707,-331,61,150
-940,-1119,-676,-151,84,194
-846,-880,-554,-75,165,163
-986,-763,-553,-66,189,116
-961,-690,-537,-27,124,98
-869,-555,-495,-22,103,74
-891,-523,-485,-22,76,62
-868,-513,-499,-4,33,45
-870,-487,-497,31,-19,40
-763,-413,-586,84,-46,51
-732,-350,-635,108,-23,62
-713,-276,-652,108,-18,57
