accX,accY,accZ,gyroX,gyroY,gyroZ
-765,-1611,-1188,37,42,-398
-876,-1900,-1285,-101,135,-436
-1150,-1961,-1491,49,259,-436
-1380,-1961,-1708,235,275,-436
-1261,-1961,-1583,196,274,-436
-1105,-1961,-1124,190,336,-436
-1206,-1673,-837,277,310,-436
-932,-1675,-549,109,148,-436
-536,-1602,-360,182,66,-436
-298,-908,-160,146,23,-436
-1,-784,-153,37,44,-436
-350,-436,-89,78,143,-436
-548,-82,6,54,33,-436
-407,42,-42,61,13,-390
-464,475,55,74,14,-280
-275,660,90,-7,-95,-181
141,601,-32,2,-135,-136
513,829,-122,-9,-122,-87
817,752,-219,1,-43,-48
638,887,-231,-31,-10,-22
746,553,-337,-43,-8,12
664,670,-412,-7,42,32
639,619,-553,-76,40,52
666,622,-782,-108,71,76
748,422,-984,-192,124,98
799,254,-904,-181,255,79
622,282,-727,-237,347,77
596,97,-560,-268,433,83
311,59,-324,-315,436,67
-118,-223,86,-346,436,37
-409,-177,413,-402,436,10
-568,-539,545,-436,436,-12
-564,-704,1011,-284,436,-5
-940,-723,1649,-258,436,-30
-1276,-796,1961,-119,436,-26
-1541,-316,1961,-50,153,-43
-1141,73,1722,7,-290,-58
-268,254,743,54,-436,-19
351,379,399,54,-137,80
-340,471,822,14,142,160
-744,494,1061,-22,53,235
-603,306,1000,-17,-11,322
-653,329,1034,37,41,391
-907,265,1002,7,-14,416
-830,252,853,-3,-100,436
-690,30,801,-14,-48,436
-864,-26,823,-16,-17,436
-826,-172,808,-23,-21,436
-835,-466,882,-15,6,436
-822,-700,906,29,-47,436
-483,-470,732,98,-95,432
-129,-504,640,42,33,412
-146,-848,972,-20,130,337
-134,-893,1150,-73,49,172
-77,-614,1096,-120,-77,-18
30,-265,874,-29,-124,-46
248,176,700,-42,-74,3
120,169,720,-232,5,25
-13,-197,594,-286,-37,19
5,131,293,-378,-71,-20
132,114,79,-436,-85,-16
85,-85,-83,-436,65,53
-310,-95,-140,-436,90,58
-248,-699,-145,-436,50,103
-423,-503,-181,-436,149,156
-656,-259,-257,-436,75,126
-730,-548,-458,-436,74,231
-1055,-477,-573,-436,120,243
-1267,-738,-729,-436,-7,316
-1557,-892,-810,-263,-38,436
-1460,-1128,-915,-152,-130,436
-1512,-1457,-1009,30,17,436
-1546,-1481,-817,79,54,436
-1476,-1521,-518,-24,23,360
-1222,-1180,-467,-115,2,165
-1163,-920,-546,-277,-25,-4
-854,-1143,-585,-244,-76,-57
-774,-1281,-527,-148,-61,-167
-767,-768,-489,-45,-77,-129
