accX,accY,accZ,gyroX,gyroY,gyroZ
-700,-607,-1504,-48,-236,101
-762,-548,-1639,-53,-189,68
-528,-710,-1721,-56,-151,42
-659,-733,-1781,-24,-21,13
-680,-776,-1876,27,-30,-12
-392,-687,-1911,52,89,-48
-728,-602,-1721,42,277,-71
-835,-556,-1532,84,238,-97
-676,-360,-1412,106,273,-118
-709,-209,-1070,84,321,-125
-702,-104,-732,76,267,-109
-503,-8,-471,24,218,-107
-335,-162,19,-3,199,-89
-433,1,804,48,165,-62
-156,-179,785,-159,-330,31
264,-416,233,81,-178,29
-354,344,47,-27,71,95
-900,-234,-153,-130,-202,100
-525,-389,-637,-21,-308,112
-865,-132,-850,-27,-223,113
-880,-209,-1067,-79,-284,117
-891,-439,-1089,-71,-233,121
-827,-442,-972,-32,-216,98
-963,-309,-854,-46,-178,67
-974,-240,-852,-43,-203,57
-1009,-259,-792,-12,-217,80
-876,-278,-672,18,-196,92
-971,-120,-561,42,-125,70
-1279,14,-569,-2,-163,79
-1145,-281,-570,44,-268,120
-993,-223,-528,127,-232,114
-1156,-212,-384,197,-204,134
-1132,-37,-387,248,-235,156
-1038,-15,-398,209,-224,165
-955,59,-404,222,-169,180
-820,320,-424,41,-60,170
-943,-49,-314,-122,89,143
-1146,-267,-183,-85,102,115
-1100,-172,-174,-45,53,74
-1098,-149,-154,-31,28,45
-1026,-163,-170,14,8,41
-950,-42,-219,43,16,35
-953,27,-213,8,35,9
-927,4,-203,-29,47,-18
-972,-39,-167,-35,58,-43
-973,-26,-169,-25,42,-63
-986,-13,-150,-6,25,-78
-987,28,-141,18,11,-88
-956,105,-141,31,1,-95
-925,133,-137,33,2,-85
-919,130,-120,41,13,-69
-952,134,-101,46,16,-56
-965,117,-93,45,4,-46
-956,129,-101,43,-1,-43
-946,124,-111,35,-11,-37
-939,114,-111,27,-11,-32
-934,111,-121,17,-16,-28
-905,114,-124,9,-17,-20
-906,110,-131,0,-9,-6
-933,91,-130,-8,-5,4
-931,63,-133,-13,-9,10
-929,42,-139,-6,-8,15
-930,50,-150,-2,-2,20
-936,45,-143,-5,0,20
-943,36,-135,-4,4,21
-949,33,-131,-2,-1,21
-925,27,-134,-1,0,22
-953,38,-118,-3,3,21
-938,27,-118,-8,0,21
-949,12,-114,-9,3,17
-944,10,-121,-11,1,13
-965,12,-122,-16,0,5
-946,-3,-135,-14,-1,0
-958,11,-131,-9,4,-5
-951,16,-130,-7,0,-8
-941,17,-122,-3,6,-11
-939,26,-110,0,4,-13
-950,48,-107,0,6,-13
-949,52,-104,-4,0,-11
