accX,accY,accZ,gyroX,gyroY,gyroZ
-422,-106,-156,12,194,-32
-336,-137,-32,-44,125,-28
-264,-242,51,-47,43,-12
-167,-247,58,0,-34,6
-214,-138,-28,11,-92,22
-249,-153,-240,-27,-173,29
-245,-143,-469,-38,-220,37
-298,-167,-696,-59,-217,50
-401,-219,-898,-92,-214,45
-503,-228,-1066,-75,-252,38
-505,-215,-1277,-108,-272,19
-521,-354,-1389,-82,-253,14
-482,-180,-1445,-48,-228,7
-465,-181,-1474,-99,-195,0
-490,-335,-1518,-66,-157,2
-368,-226,-1582,-32,-100,0
-428,-230,-1662,-47,-33,-7
-322,-242,-1697,-37,38,-10
-377,-198,-1673,-25,125,-10
-418,-222,-1621,-5,177,-4
-469,-156,-1590,17,240,-4
-491,-143,-1477,20,282,-2
-553,-152,-1335,31,306,0
-545,-182,-1146,63,299,4
-464,-235,-856,109,287,4
-412,-94,-623,118,258,1
-390,-191,-420,89,197,0
-252,-181,-291,82,112,0
-92,-157,-220,40,75,1
-101,-201,-142,12,55,5
-109,-220,-136,8,-22,12
-115,-219,-206,0,-83,17
-163,-233,-334,-10,-139,16
-241,-310,-480,3,-194,17
-264,-311,-582,26,-236,19
-327,-374,-616,80,-249,25
-610,-449,-663,136,-300,37
-704,-572,-790,191,-380,40
-773,-640,-846,286,-398,29
-891,-615,-882,324,-403,51
-832,-714,-802,337,-385,86
-861,-693,-650,356,-300,121
-980,-605,-523,318,-250,156
-902,-564,-355,232,-211,164
-947,-540,-242,162,-148,168
-1022,-505,-166,105,-112,185
-974,-575,-73,81,-85,183
-1031,-539,-3,116,-34,183
-1100,-421,-2,101,-25,186
-1034,-372,3,26,-28,164
-985,-390,5,-26,-16,145
-961,-413,26,-25,-4,132
-943,-364,46,-6,5,120
-946,-315,63,0,12,110
-967,-266,70,-7,16,102
-991,-224,65,-34,16,89
-1001,-197,45,-80,6,73
-953,-218,31,-126,6,49
-934,-246,22,-149,13,28
-930,-246,52,-149,26,6
-959,-228,59,-137,23,-10
-889,-260,88,-84,25,-23
-940,-170,133,-12,37,-28
-959,-35,129,10,8,-14
-893,-10,132,8,6,-3
-937,43,112,-9,14,6
-920,7,105,-44,13,7
-972,-46,117,-56,20,2
-964,-67,108,-51,13,0
-930,-106,105,-32,15,-3
-942,-78,113,-19,14,-7
-943,-65,113,-10,6,-3
-937,-75,96,-6,0,0
-934,-59,69,-7,-8,2
-917,-70,50,-15,-8,2
-935,-57,36,-19,-3,2
-937,-80,27,-19,-1,1
-938,-84,21,-13,3,-2
-946,-64,23,-9,1,-7
