accX,accY,accZ,gyroX,gyroY,gyroZ
-1240,-943,-508,-227,49,-306
-1282,-610,-619,-59,-13,-367
-1199,-358,-754,-47,-61,-400
-1123,-237,-833,-110,-24,-406
-989,-236,-971,-242,42,-436
-825,-346,-1157,-324,205,-436
-888,-515,-1215,-296,384,-426
-984,-504,-1063,-142,436,-313
-1083,-337,-904,-43,436,-256
-836,-351,-701,-24,327,-259
-542,-265,-680,-8,307,-220
-491,-168,-544,-33,325,-159
-341,-271,-364,-45,270,-101
-249,-290,-225,-4,234,-36
-468,-276,318,51,109,18
-206,-230,3,76,-135,26
74,-132,-390,-55,-173,-4
0,-348,-423,-71,-116,31
-11,-330,-645,-51,-164,79
-47,-324,-990,-115,-159,85
-4,-639,-1317,-166,-196,47
164,-809,-1610,-112,-115,14
114,-743,-1656,-52,-7,-28
125,-538,-1622,-36,71,-37
172,-521,-1476,-52,169,-43
70,-523,-1193,-31,237,-44
123,-414,-1059,-43,269,-110
-3,-320,-765,-72,288,-93
-272,-551,16,102,170,5
60,-53,-314,114,-65,0
197,-192,-399,-9,9,16
-204,-492,-186,64,-37,58
-176,-320,-472,165,-262,44
-53,-304,-671,113,-271,39
-191,-591,-558,159,-274,140
-309,-579,-783,300,-285,189
-469,-581,-682,299,-305,217
-377,-689,-686,358,-306,321
-427,-476,-877,324,-176,284
-496,-589,-481,150,-82,219
-648,-313,-547,43,67,267
-1219,-487,-557,-171,86,293
-1315,-1164,-657,-1,-187,337
-806,-889,-850,275,-245,400
-804,-554,-781,309,-115,409
-833,-367,-713,220,-61,357
-807,-360,-601,141,27,310
-844,-303,-580,101,124,273
-887,-214,-565,-19,237,156
-1063,-236,-497,-141,293,63
-1164,-328,-441,-175,239,16
-1082,-414,-408,-119,149,10
-1080,-375,-360,-40,82,23
-1065,-175,-380,-42,13,8
-1049,-288,-379,-74,-42,-17
-987,-327,-429,-4,-81,-17
-949,-169,-420,52,-78,5
-971,-141,-387,72,-95,13
-918,-126,-417,113,-134,27
-829,-72,-475,138,-135,44
-804,-29,-492,138,-97,54
-834,-24,-467,126,-68,57
-849,-14,-438,112,-48,39
-858,28,-392,89,-33,8
-887,87,-359,57,-28,-16
-876,116,-337,31,-27,-26
-873,140,-334,8,-11,-17
-878,84,-325,-2,-1,1
-892,45,-326,4,3,18
-894,30,-336,-8,4,17
-872,-14,-345,-18,14,10
-898,-16,-317,-10,20,8
-916,-3,-301,-12,11,8
-920,-7,-305,-15,3,6
-917,-18,-311,-15,-3,7
-908,-30,-318,-8,-1,8
-913,-17,-315,-2,0,8
-915,-18,-317,-2,0,6
-910,-23,-319,-3,-3,1
