accX,accY,accZ,gyroX,gyroY,gyroZ
-1235,-277,-1411,-26,436,-331
-1253,-393,-1167,-59,436,-287
-1283,-466,-860,-16,436,-256
-1323,-367,-501,27,436,-237
-1190,-74,-134,48,396,-207
-1857,585,833,25,-140,29
-415,104,66,-19,-224,9
-649,-202,-50,-125,-40,29
-1121,-277,-156,-100,-211,49
-1077,-270,-628,-100,-436,75
-905,-454,-994,-55,-436,145
-919,-541,-1050,-13,-436,200
-1047,-494,-1050,58,-389,249
-1244,-363,-995,57,-378,268
-1204,-387,-991,33,-377,315
-1207,-364,-907,21,-328,321
-1235,-549,-874,20,-305,340
-1038,-634,-928,17,-284,327
-760,-837,-809,-62,-200,184
-784,-880,-715,-81,-40,84
-925,-1037,-698,-124,-13,-3
-719,-1254,-778,-38,-17,-77
-688,-1049,-893,78,141,-156
-1033,-794,-973,113,265,-213
-1193,-713,-1038,85,308,-287
-1258,-629,-1112,87,368,-342
-1406,-506,-1180,105,432,-350
-1421,-438,-1212,73,436,-344
-1315,-350,-1125,5,436,-363
-1311,-306,-855,-16,436,-337
-1190,-239,-532,36,436,-237
-1123,-52,-154,88,416,-164
-1070,265,169,-6,292,-141
-1502,374,702,-114,-138,18
-349,-190,19,-40,-122,23
-812,-109,56,-77,-33,64
-1244,-176,-117,-58,-271,145
-1093,-379,-582,-36,-436,217
-1154,-471,-959,-20,-436,292
-1187,-682,-1063,-13,-436,303
-1178,-595,-1114,54,-436,321
-1298,-394,-1062,-6,-379,314
-1275,-509,-986,-50,-377,289
-1100,-490,-927,-47,-333,288
-1066,-513,-884,-74,-256,249
-916,-613,-843,-108,-216,171
-689,-627,-703,-69,-119,113
-819,-479,-546,-56,0,69
-840,-389,-481,-112,-6,-1
-788,-347,-407,-141,56,-46
-959,-288,-255,-112,92,-56
-984,-239,-172,-68,69,-58
-989,-178,-78,-7,64,-46
-1021,-103,-12,43,47,-26
-998,-42,11,55,25,-16
-960,8,8,35,24,-12
-995,-48,9,10,26,-5
-979,-97,-3,5,13,-8
-971,-67,-26,9,4,-9
-976,-38,-63,0,-3,-6
-974,-50,-87,-4,-22,-4
-919,-63,-130,-6,-24,-2
-914,-56,-157,-7,-9,-1
-967,-69,-135,-7,0,2
-956,-67,-128,-7,-12,-1
-908,-34,-141,-7,-17,-1
-904,-16,-140,0,-6,18
-927,-27,-134,-6,-2,28
-936,-64,-140,-21,-6,26
-909,-104,-153,-23,-3,19
-907,-132,-157,-11,6,14
-935,-94,-138,5,15,7
-943,-54,-135,4,16,8
-951,-90,-124,2,19,9
-958,-90,-110,9,16,5
-960,-53,-105,6,8,0
-950,-54,-120,2,7,5
-966,-80,-125,-1,3,3
-940,-102,-143,3,0,-3
