accX,accY,accZ,gyroX,gyroY,gyroZ
-930,-206,67,-251,214,-251
-1052,-328,-52,-388,339,-244
-1173,-527,-157,-436,373,-242
-1213,-538,-247,-372,375,-215
-1254,-636,-233,-286,350,-190
-1116,-467,-258,-91,316,-152
-922,-179,-330,-92,304,-125
-951,-453,-257,-62,318,-101
-869,-240,-262,-7,260,-85
-727,-328,-347,-38,238,-87
-691,-529,-288,61,211,-84
-561,-98,-262,66,171,-91
-431,-437,-164,2,175,-98
-362,-239,-120,23,134,-87
-265,-313,-61,-21,146,-77
-368,-226,112,-11,100,-47
-281,-68,126,-57,11,-22
-258,-227,37,-105,-28,11
-320,-293,-1,-117,-75,30
-350,-222,-151,-111,-133,44
-310,-201,-378,-163,-145,49
-501,-390,-441,-157,-168,51
-479,-396,-675,-91,-206,49
-435,-343,-813,-70,-183,41
-541,-326,-858,-81,-175,35
-505,-396,-978,-98,-155,23
-505,-455,-1148,-50,-139,22
-412,-440,-1285,-35,-79,18
-426,-560,-1226,-21,-13,1
-460,-570,-1173,15,13,-13
-393,-496,-1169,43,60,-29
-461,-493,-1074,38,126,-43
-540,-508,-933,68,144,-55
-487,-338,-874,73,157,-62
-528,-324,-765,62,178,-61
-440,-389,-640,65,174,-65
-455,-361,-425,91,168,-65
-324,-189,-276,99,137,-49
-157,-3,-146,13,137,-32
-392,-437,292,14,132,0
-235,32,318,5,-24,25
-194,-430,-8,-34,-8,41
-423,-271,8,14,-75,51
-264,-130,-269,-68,-141,61
-331,-399,-383,-110,-113,63
-467,-495,-374,-86,-122,60
-553,-414,-450,-53,-174,50
-472,-406,-582,-95,-163,39
-619,-527,-458,-68,-148,28
-745,-345,-434,-18,-178,30
-652,-344,-521,-25,-209,38
-748,-312,-480,15,-194,51
-789,-349,-453,-4,-199,56
-832,-369,-429,25,-200,64
-853,-374,-364,52,-196,74
-952,-450,-264,115,-219,92
-925,-296,-308,164,-240,112
-927,-304,-267,125,-223,123
-955,-440,-134,131,-186,129
-1045,-394,10,182,-194,129
-997,-322,42,242,-212,131
-929,-214,64,252,-204,131
-908,-130,138,242,-166,139
-934,-42,218,209,-136,151
-881,-4,242,158,-108,142
-860,68,272,88,-52,126
-882,108,307,7,2,119
-919,69,338,-55,40,108
-937,26,356,-87,59,89
-956,-3,382,-99,65,67
-958,-18,398,-91,59,51
-966,-8,406,-72,43,43
-941,5,389,-63,30,36
-931,-2,386,-60,27,25
-929,-6,386,-52,29,12
-946,-13,393,-40,25,0
-943,-5,390,-22,19,-14
-935,35,391,-14,15,-29
-937,65,390,-17,10,-40
