accX,accY,accZ,gyroX,gyroY,gyroZ
-456,-126,25,-71,169,4
-328,-219,92,-64,79,13
-376,-478,393,67,-5,17
-93,105,64,23,-113,18
-59,-344,0,-41,-76,27
-298,-165,-31,67,-98,3
-373,-8,-263,2,-240,-18
-251,-76,-483,3,-264,-10
-469,-65,-606,11,-269,-5
-468,4,-829,26,-303,12
-529,-104,-970,-10,-297,5
-532,-124,-1064,23,-294,15
-577,27,-1347,-50,-266,1
-452,-291,-1438,-41,-223,-4
-431,0,-1547,-8,-136,-7
-366,-27,-1623,-70,-72,-11
-254,-206,-1501,-28,41,6
-378,-73,-1353,10,123,13
-389,-49,-1283,0,155,10
-434,-48,-1279,-11,219,9
-498,-7,-1187,-10,255,20
-550,-67,-1063,7,285,26
-561,-21,-925,-2,278,18
-466,-113,-691,-1,290,22
-484,-74,-431,18,276,24
-416,-96,-198,10,224,21
-330,-136,-42,-4,173,20
-305,-93,31,-10,107,21
-221,-205,50,-4,37,23
-179,-158,16,23,-12,23
-197,-167,-46,-10,-70,10
-161,-235,-200,-4,-121,2
-202,-181,-314,25,-158,3
-224,-199,-440,24,-196,7
-351,-289,-557,65,-208,13
-436,-334,-637,106,-249,16
-478,-189,-728,140,-256,22
-609,-253,-780,108,-260,32
-642,-375,-750,114,-278,41
-675,-517,-635,183,-270,55
-826,-176,-726,203,-268,64
-765,-419,-564,110,-291,58
-755,-565,-398,180,-251,73
-974,-327,-403,200,-238,87
-916,-348,-362,164,-269,92
-831,-315,-304,85,-222,109
-871,-475,-170,48,-164,113
-926,-483,-64,75,-148,106
-894,-372,-8,98,-143,96
-864,-265,22,73,-114,109
-882,-266,63,36,-80,126
-895,-286,97,4,-44,128
-935,-316,143,-20,-10,122
-964,-328,163,-31,0,112
-937,-342,188,-43,5,88
-932,-342,195,-45,13,59
-934,-346,215,-37,17,35
-914,-292,222,-26,21,12
-921,-229,237,-38,28,-5
-933,-213,244,-51,23,-17
-894,-166,258,-57,20,-26
-898,-153,262,-72,22,-35
-903,-134,271,-68,15,-32
-903,-106,278,-54,8,-20
-894,-80,267,-43,4,-6
-886,-125,261,-38,6,0
-911,-159,280,-10,7,1
-923,-91,284,7,3,4
-910,-69,287,-3,0,4
-910,-99,288,-17,1,1
-920,-116,278,-7,-4,2
-904,-93,264,-1,-6,7
-902,-93,255,-8,-8,9
-899,-101,245,-18,-8,8
-903,-124,239,-15,-9,8
-909,-120,231,-8,-8,9
-908,-106,221,-10,-7,8
-905,-123,229,-15,-3,6
-911,-121,226,-15,-3,3
