accX,accY,accZ,gyroX,gyroY,gyroZ
-1111,-408,-729,-87,-86,-436
-758,-277,-1018,-129,2,-436
-757,-198,-1172,-159,239,-436
-712,-389,-1346,-192,389,-436
-895,-642,-1402,-237,436,-436
-1122,-576,-1220,-211,436,-436
-865,-159,-1126,-45,386,-385
-470,-47,-987,40,436,-165
-701,-136,-498,19,436,-91
-815,-271,75,83,367,-35
-473,-215,196,136,158,-36
-807,156,924,141,17,6
-216,62,246,52,-345,-41
483,-74,-259,-209,-251,-127
220,-467,-44,-141,-3,-20
-200,-336,-112,-40,-134,46
-21,-317,-629,-111,-333,-34
241,-421,-1058,-79,-299,-27
234,-415,-1280,-33,-196,-4
-43,-459,-1303,-122,-120,-112
96,-560,-1591,-53,-254,-104
783,-354,-1865,9,-77,-16
424,-279,-1544,-50,357,17
-139,-472,-974,-53,312,33
161,-408,-876,10,169,35
336,-356,-736,1,265,17
-89,-420,-154,30,337,11
-626,-429,579,159,-38,66
301,-222,-180,18,-331,-57
647,-286,-431,1,45,-7
-268,-281,113,31,168,39
-374,-427,-1,86,-212,67
106,-354,-423,141,-285,91
-24,-373,-408,167,-137,200
-362,-535,-377,290,-117,414
-612,-560,-390,372,-152,436
-796,-614,-453,327,-294,436
-624,-459,-550,169,-406,394
-300,-490,-604,-13,-308,245
-486,-255,-738,33,36,307
-1043,-268,-537,-156,87,297
-1013,-535,-520,-206,-34,261
-1134,-523,-464,-117,-7,302
-1064,-633,-515,-137,-120,215
-826,-703,-507,-54,-108,161
-854,-511,-330,82,-25,171
-949,-342,-255,184,-28,217
-846,-213,-302,214,-40,240
-775,-102,-310,153,59,227
-950,-111,-253,96,150,208
-1026,-175,-234,95,127,196
-932,-172,-211,120,84,167
-905,87,-171,32,88,67
-931,-5,-171,-127,56,-65
-884,-87,-199,-158,24,-120
-864,-62,-219,-65,0,-66
-851,22,-225,15,-19,-3
-835,50,-251,47,-44,21
-781,72,-280,58,-64,22
-716,126,-317,51,-56,15
-700,147,-316,28,-16,10
-768,115,-277,3,7,2
-793,84,-264,-3,-5,-7
-767,88,-274,4,-10,-7
-781,112,-256,9,-11,-2
-777,151,-261,12,-18,4
-735,163,-264,-5,-9,5
-755,114,-248,-29,12,0
-797,64,-230,-28,13,-3
-809,56,-228,-14,1,0
-807,60,-238,-2,-9,4
-791,59,-247,0,-13,4
-795,57,-238,2,-16,-1
-770,94,-255,0,-22,-5
-754,102,-260,-5,-2,1
-810,85,-236,-8,6,6
-813,88,-231,-10,-2,6
-802,92,-234,-18,-3,0
-806,85,-234,-35,-6,-17
