accX,accY,accZ,gyroX,gyroY,gyroZ
-880,-52,-1156,-174,436,-184
-881,-173,-1083,-211,436,-153
-907,-327,-962,-173,436,-89
-853,-335,-848,-120,436,-63
-744,-368,-586,-94,436,-34
-728,-605,141,4,436,55
-1961,-762,909,-2,203,24
-884,40,86,69,-436,-25
-123,-425,-307,59,-436,-4
-137,-298,-352,27,-232,-2
-518,-387,-470,67,-148,70
-834,-407,-618,106,-325,141
-766,-572,-796,166,-436,181
-623,-390,-941,210,-436,229
-766,-253,-842,72,-428,190
-951,-222,-854,38,-436,230
-777,-153,-1046,-116,-435,197
-683,-503,-1258,-225,-335,172
-500,-829,-1674,-314,-247,85
-215,-1547,-1961,-189,-138,3
-54,-1258,-1961,107,144,-23
-354,-609,-1790,128,436,-88
-732,-387,-1578,38,436,-138
-747,-352,-1516,-18,436,-142
-930,-242,-1328,-11,436,-111
-1045,-286,-979,2,436,-87
-1016,-195,-714,31,436,-81
-933,-113,-493,-27,436,-106
-827,-207,-242,-87,418,-68
-1838,-78,1494,-204,436,-130
-1369,-796,422,41,-202,-16
-578,-375,-19,113,-436,74
-342,-300,-284,100,-373,46
-501,-297,-406,116,-297,98
-810,-411,-499,107,-398,143
-667,-470,-858,209,-436,204
-678,-354,-1051,134,-436,247
-824,-613,-969,143,-436,289
-639,-443,-906,120,-432,269
-800,-432,-672,37,-304,245
-845,-448,-563,47,-269,263
-873,-366,-514,4,-216,246
-878,-505,-447,-32,-163,213
-875,-518,-339,0,-112,192
-925,-486,-239,-33,-61,132
-851,-482,-147,-54,-1,62
-918,-319,-44,-86,43,-2
-895,-321,12,-89,40,-21
-805,-210,-34,-93,56,-47
-871,-132,-11,-169,97,-69
-964,-245,44,-176,84,-32
-950,-325,73,-147,52,-44
-921,-268,65,-72,32,-32
-923,-208,63,2,17,-12
-893,-76,59,15,10,-11
-898,-33,71,-10,8,-15
-876,-21,42,-30,0,-13
-864,-50,3,-48,4,-13
-847,-40,-30,-62,9,-14
-885,-91,-27,-89,19,-14
-890,-178,-25,-74,8,-9
-875,-176,-54,-35,0,-1
-847,-120,-69,-19,-2,-1
-852,-117,-59,-19,-1,3
-867,-127,-42,-22,2,4
-857,-118,-45,-24,0,1
-858,-123,-46,-23,0,1
-857,-119,-48,-19,1,2
-867,-126,-33,-13,2,5
-862,-112,-30,-13,0,4
-851,-111,-38,-22,1,0
-857,-124,-40,-21,4,1
-869,-122,-43,-13,3,2
-880,-91,-44,-20,4,-1
-866,-120,-43,-23,3,-1
-870,-118,-37,-15,4,0
-860,-104,-39,-15,4,-1
-866,-95,-40,-16,0,-2
-881,-105,-37,-16,0,0
