accX,accY,accZ,gyroX,gyroY,gyroZ
-1207,-1520,74,-49,-211,-347
-1335,-1675,-107,87,-94,-427
-1655,-1483,-216,237,-40,-436
-1719,-1211,-297,322,-97,-436
-1458,-968,-378,377,-111,-436
-1345,-675,-408,436,-90,-436
-1117,-358,-448,436,-141,-436
-752,-229,-442,370,-124,-436
-553,-248,-354,320,-5,-436
-594,-198,-260,293,70,-436
-463,-56,-109,250,66,-436
-309,60,-84,176,185,-436
-449,82,92,117,286,-407
-384,7,144,112,332,-316
-699,-39,328,68,408,-292
-746,87,580,50,283,-244
-670,138,866,1,319,-202
-1070,196,1375,9,270,-159
-958,341,1574,-12,113,-110
-1081,199,1831,22,84,-53
-1046,451,1821,101,-63,0
-889,412,1710,77,-119,44
-896,-20,1632,199,-204,94
-721,224,1456,273,-285,109
-600,61,1445,277,-336,113
-459,238,1309,376,-372,128
-234,300,1123,314,-366,120
-152,231,1066,361,-330,129
80,410,934,349,-333,116
106,353,851,325,-256,126
299,291,606,374,-298,106
444,507,425,367,-146,109
107,470,529,304,-186,125
645,440,117,310,-202,107
336,625,260,231,-28,141
219,407,186,182,-145,175
715,323,-219,218,-64,141
370,403,3,207,9,141
440,433,-104,238,-4,149
522,442,-225,220,27,142
399,543,-167,203,76,165
320,587,-110,186,38,184
482,377,-252,236,29,171
514,628,-271,233,74,210
447,387,-181,149,150,300
421,-8,-17,152,157,311
466,82,-113,141,183,317
357,-130,-33,69,232,353
163,-223,148,72,214,355
317,-349,-40,37,200,367
164,-275,95,46,254,369
61,-217,132,-47,253,424
-149,-601,270,-48,337,436
-536,-413,377,-30,214,436
-296,-620,-15,-134,180,436
-705,-805,165,-17,393,436
-1451,-651,399,-99,225,436
-792,-780,-39,-144,130,436
-1624,-469,-191,-359,355,436
-1626,-1753,-28,-227,6,436
-1203,-716,-399,-6,126,419
-1589,-919,-105,-127,27,341
-1250,-530,-268,-34,84,363
-1758,-243,-186,-246,86,298
-1545,-800,-141,-136,-73,333
-1592,-359,-207,-2,-20,407
-1539,-311,-213,-123,-47,361
-1596,-688,-135,-58,-31,364
-1485,-598,-214,29,-87,324
-1200,-349,-293,-22,-47,191
-1351,-580,-210,14,0,120
-1193,-564,-219,142,-28,81
-1116,-524,-221,236,17,15
-1165,-508,-296,351,16,-48
-1139,-461,-384,436,2,-93
-1248,-445,-411,436,-25,-122
-1308,-334,-558,436,-140,-136
-1195,-150,-785,436,-219,-146
-1064,135,-725,436,-228,-119
