accX,accY,accZ,gyroX,gyroY,gyroZ
-960,-1126,-458,250,39,-343
-946,-1272,-518,353,109,-387
-1014,-1308,-551,436,146,-433
-991,-1336,-562,436,164,-436
-984,-1310,-541,436,187,-436
-1052,-1363,-485,436,183,-436
-953,-1103,-464,436,160,-436
-825,-995,-313,436,157,-436
-691,-862,-227,436,148,-436
-547,-753,-170,436,146,-436
-445,-791,-80,436,177,-436
-549,-787,-24,436,215,-436
-533,-670,99,436,172,-436
-486,-351,154,436,160,-436
-488,53,390,405,105,-436
-416,203,672,297,55,-411
-538,356,853,236,38,-342
-664,458,1007,216,-30,-270
-747,671,1042,254,-69,-179
-955,1027,1004,255,-113,-97
-985,1204,897,202,-210,-34
-783,1149,757,195,-203,19
-817,1223,696,220,-166,60
-705,1351,616,273,-198,112
-417,1527,385,266,-182,165
-253,1338,360,243,-44,218
-408,1237,494,223,28,255
-379,1111,572,201,10,293
-310,999,644,171,32,325
-346,911,704,148,8,347
-270,873,683,93,-42,371
-147,685,634,17,-64,398
-103,466,590,-9,-98,417
35,281,492,-7,-156,422
179,229,365,-10,-175,407
240,78,300,-29,-195,377
321,-22,117,2,-219,374
482,-145,-12,30,-219,355
540,-76,-123,25,-134,323
413,-194,-69,28,-112,306
378,-209,-141,33,-128,304
459,-289,-217,26,-135,287
471,-326,-258,25,-90,283
423,-355,-249,0,-57,285
328,-450,-259,-21,-43,279
278,-557,-236,37,-67,267
277,-500,-287,28,-52,258
141,-559,-268,14,-36,268
54,-541,-271,-6,-51,291
-14,-651,-288,-45,-38,292
-203,-702,-276,-27,-37,297
-284,-674,-312,-37,-88,306
-375,-683,-380,-72,-52,307
-518,-885,-333,-21,-61,317
-596,-727,-423,26,-28,325
-924,-713,-391,-24,-27,298
-866,-869,-463,-6,-125,300
-844,-825,-535,25,-79,313
-1051,-744,-518,7,-46,312
-1139,-892,-524,33,-74,324
-1104,-891,-554,90,-51,335
-1244,-741,-538,81,-22,303
-1261,-917,-506,122,-60,300
-1162,-836,-511,159,-15,322
-1241,-746,-440,113,35,302
-1289,-848,-402,105,34,282
-1225,-827,-353,134,45,264
-1173,-663,-337,130,70,221
-1097,-626,-282,87,97,206
-1150,-597,-228,51,105,176
-1213,-687,-151,38,49,128
-1075,-690,-183,105,11,83
-1063,-531,-200,176,10,47
-998,-349,-200,210,-14,23
-886,-173,-185,214,-10,9
-928,-54,-172,175,-3,1
-910,-31,-176,148,-17,7
-899,103,-162,57,-7,-1
-979,44,-188,-41,-24,-21
