accX,accY,accZ,gyroX,gyroY,gyroZ
-1239,-993,-1354,286,-270,-436
-1126,-1302,-1464,314,-143,-436
-1352,-1410,-1323,436,-37,-425
-1588,-1183,-1061,436,-129,-403
-1497,-706,-850,436,-254,-434
-1318,-321,-651,436,-366,-436
-695,17,-557,436,-332,-389
-339,267,-314,360,-160,-316
-269,257,-103,185,-31,-237
-204,128,68,78,42,-114
-96,-116,257,63,130,-60
-152,-109,490,105,202,-33
-359,-367,1137,53,142,-52
-312,-416,1411,3,98,-94
-436,-800,1480,-81,12,-111
-148,-1128,1636,-3,-27,-124
-525,-1236,1716,84,26,-126
-545,-1169,1390,291,-146,-134
-308,-733,1143,382,-223,-101
-259,-496,1122,326,-267,-75
-163,-461,872,231,-336,-103
-110,-563,733,241,-339,-85
-177,-407,539,296,-355,-12
-6,-246,355,338,-436,-51
291,45,182,428,-436,-23
655,384,37,436,-357,84
633,786,-2,346,-132,173
279,474,212,164,-80,241
269,293,190,102,-178,298
433,-11,154,51,-222,280
512,-286,31,166,-271,211
727,2,-137,255,-274,201
804,38,-157,187,-156,219
710,-75,-131,166,-136,227
720,-31,-133,60,-55,269
577,-481,-97,-15,-9,218
347,-329,4,12,-57,230
560,-482,-339,-50,-178,240
653,-705,-389,-18,-114,228
590,-582,-393,54,-97,224
516,-569,-405,41,-62,251
496,-679,-330,1,-39,229
363,-822,-237,-7,-8,207
240,-870,-154,119,-50,229
295,-519,-281,77,-73,214
212,-755,-347,3,-25,226
92,-727,-323,25,18,265
-86,-763,-270,-77,11,262
-124,-1072,-310,-43,-54,277
-24,-966,-432,9,-41,247
-158,-1003,-369,24,47,241
-265,-832,-225,66,19,226
-407,-742,-267,24,52,231
-417,-827,-178,68,23,248
-471,-562,-183,77,95,286
-818,-616,-131,14,88,329
-805,-701,-273,30,81,388
-879,-592,-492,-22,188,426
-1081,-588,-550,-147,288,401
-1439,-805,-414,-221,222,330
-1330,-1011,-356,-103,33,284
-1147,-962,-447,78,5,336
-992,-695,-525,203,0,318
-1180,-415,-546,135,75,287
-1107,-712,-445,144,28,276
-970,-356,-490,121,51,159
-1248,-398,-414,83,63,182
-1014,-667,-435,258,-19,251
-976,-307,-499,371,13,230
-1015,-165,-507,401,-6,224
-948,96,-514,423,10,226
-888,171,-381,357,76,221
-915,179,-298,326,136,193
-915,229,-323,230,154,146
-900,150,-420,154,117,100
-852,137,-468,133,79,77
-863,141,-516,130,79,109
-833,109,-582,123,55,139
-816,99,-603,105,41,122
