accX,accY,accZ,gyroX,gyroY,gyroZ
-1057,-1534,-501,276,-226,-356
-801,-1482,-937,436,-171,-303
-646,-1394,-1397,420,-81,-334
-529,-1755,-1518,400,49,-395
-633,-1629,-1563,436,256,-406
-984,-1389,-1362,436,314,-436
-978,-1217,-1226,425,252,-436
-941,-1137,-1176,397,327,-436
-1165,-1035,-1005,425,423,-436
-1393,-731,-797,436,436,-436
-1520,-322,-706,436,395,-436
-1499,144,-594,436,263,-436
-1202,795,-466,331,228,-436
-996,1103,-190,26,387,-365
-1097,111,131,-223,436,-162
-1961,-1816,1961,436,436,348
-1961,990,1477,-10,-436,-247
-784,-846,1341,-46,-436,-231
19,-587,1205,436,-315,-121
-146,729,1227,383,-14,-114
-541,45,1470,176,-1,-34
-689,-405,1314,361,-111,-1
-436,-271,1061,436,-234,-22
-289,25,889,436,-156,-51
-274,621,866,436,-168,-39
-33,766,1018,436,-128,31
-141,656,969,408,-61,87
21,514,893,401,-133,146
87,529,859,294,-13,187
-287,123,674,288,-76,147
102,339,239,331,-159,121
196,318,113,330,2,47
-29,711,42,339,41,38
233,779,-84,209,53,78
222,638,-119,182,172,60
215,810,-112,235,152,64
351,767,-109,199,196,99
251,654,-56,204,164,93
429,734,-179,222,123,128
350,754,-186,202,134,229
337,506,-249,122,43,266
581,506,-483,91,25,242
422,489,-367,74,111,272
288,413,-504,-7,18,291
650,172,-800,-1,30,276
422,221,-684,36,181,286
361,60,-608,1,123,247
794,147,-636,66,189,232
538,310,-258,67,298,277
614,273,-130,-43,200,330
667,-178,-8,-93,214,377
508,-435,124,-65,186,378
606,-614,130,-15,118,308
568,-534,86,58,133,307
526,-487,109,27,104,309
638,-708,102,-23,155,317
173,-831,305,-19,154,281
292,-864,184,-22,-11,241
469,-849,36,-12,89,257
158,-908,179,-25,104,239
201,-834,198,-22,82,257
124,-966,91,-37,129,281
53,-990,226,10,168,305
-192,-935,170,-56,181,282
-282,-1138,207,3,124,275
-359,-749,56,-96,99,239
-342,-1265,23,-43,83,272
-322,-917,0,-17,174,283
-637,-1229,22,-70,235,256
-746,-997,109,-34,174,240
-734,-1130,-88,-68,121,204
-665,-1057,-18,42,136,224
-744,-889,-150,36,184,204
-826,-861,-92,76,198,205
-850,-668,-56,17,209,191
-985,-835,-175,-10,173,153
-908,-722,-175,56,130,157
-862,-606,-268,50,164,156
-938,-624,-280,67,173,141
