accX,accY,accZ,gyroX,gyroY,gyroZ
-1403,-851,-865,217,325,-306
-1410,-988,-901,216,270,-320
-1329,-879,-999,213,286,-339
-1202,-770,-970,209,319,-318
-1170,-875,-957,196,305,-293
-925,-1126,-919,285,309,-246
-1031,-845,-708,263,339,-255
-756,-694,-352,141,221,-269
-518,-763,-178,210,211,-216
-352,-386,94,219,126,-142
-117,-459,241,177,42,-78
-33,-550,184,144,-49,-58
189,-748,-22,153,-97,-25
185,-735,-149,122,-34,-12
117,-973,-248,166,-102,-71
209,-301,-329,191,-100,-80
141,101,-99,134,-43,-89
112,370,23,85,-61,-47
188,605,59,60,-5,32
-10,113,205,-63,40,69
-5,-163,188,-108,-8,81
47,-677,214,-122,24,79
7,-865,207,-103,-6,73
125,-949,218,-88,-17,60
59,-982,203,-72,-13,54
113,-860,56,-61,-57,51
193,-811,-65,-196,-15,19
16,-1162,-49,-136,-29,31
187,-835,-238,-103,-81,32
177,-1041,-286,-179,-9,24
109,-1074,-190,-149,-38,27
101,-1088,-249,-67,-39,48
148,-953,-364,-152,-27,26
20,-1258,-206,-145,5,11
-81,-1060,-261,-58,-68,24
102,-873,-375,-130,-66,6
-60,-981,-190,-144,-29,18
-216,-1000,-252,-9,-121,83
-82,-874,-480,11,-157,121
-142,-621,-367,-14,-80,166
-402,-719,-227,39,-92,248
-313,-340,-466,-46,-109,253
-527,-863,-441,-201,2,234
-923,-1343,-688,-130,-83,224
-607,-1961,-1046,-269,-49,46
-851,-1961,-670,-120,-34,-16
-496,-1522,-567,-67,-61,-75
-543,-1057,-294,-11,-37,-79
-482,-712,-197,20,-101,-70
-409,-516,-209,34,-131,-39
-435,-377,-192,48,-169,7
-486,-254,-174,38,-215,57
-515,-318,-254,66,-249,109
-474,-168,-355,91,-224,178
-554,-43,-414,-85,-123,178
-832,-229,-410,-197,-83,171
-944,-422,-463,-203,-71,220
-1072,-489,-408,-134,-45,268
-1209,-362,-495,-131,-75,264
-1149,-359,-549,-166,-105,265
-1087,-415,-534,-163,-39,257
-1187,-454,-435,-136,11,245
-1191,-495,-368,-100,-2,223
-1138,-441,-322,-61,-24,209
-1087,-419,-301,-32,-44,180
-1009,-303,-300,-16,-63,112
-941,-149,-296,-44,-56,51
-914,-99,-286,-84,-28,20
-922,-112,-249,-110,-4,-3
-924,-165,-217,-102,0,-22
-953,-209,-171,-46,-4,-24
-971,-133,-176,8,-23,-20
-926,-50,-184,13,-27,-30
-925,-15,-183,-18,-5,-51
-962,-42,-147,-32,4,-69
-973,-25,-132,-32,1,-77
-961,-9,-124,-24,-4,-78
-946,13,-126,-17,-1,-72
-944,23,-124,-11,-2,-64
