accX,accY,accZ,gyroX,gyroY,gyroZ
-1023,-428,-586,249,221,-57
-1082,-472,-659,214,240,-72
-1127,-655,-655,162,268,-106
-1243,-765,-638,169,279,-136
-1181,-722,-745,188,273,-148
-1203,-733,-770,172,294,-167
-1112,-691,-794,156,291,-182
-1057,-715,-739,150,297,-175
-968,-724,-711,157,260,-161
-800,-714,-694,169,235,-152
-678,-703,-633,167,207,-143
-561,-670,-611,142,185,-133
-475,-760,-558,138,143,-130
-407,-803,-496,209,92,-102
-295,-638,-475,227,25,-88
-192,-734,-442,217,-2,-76
-135,-732,-411,219,-19,-65
-115,-998,-315,235,0,-40
-234,-1173,-221,301,-1,-28
-196,-1008,-182,311,-62,-66
-131,-851,-113,277,-85,-107
-100,-807,-36,228,-104,-137
-35,-581,0,213,-143,-161
96,-358,17,182,-171,-155
226,-181,16,130,-138,-131
311,-138,10,56,-83,-116
321,-170,79,55,-19,-73
309,-106,125,20,10,-40
313,-151,176,-5,32,-12
317,-193,217,-29,47,20
295,-257,255,-43,67,54
220,-391,282,-58,82,82
157,-506,309,-71,74,92
107,-633,275,-93,60,96
85,-708,249,-85,54,104
61,-737,182,-104,85,109
-48,-938,239,-124,119,88
-158,-991,327,-74,66,71
-26,-719,164,-119,-28,57
87,-788,80,-156,21,61
2,-670,34,-233,32,38
-54,-974,-21,-211,36,72
-181,-888,-100,-109,21,108
-88,-667,-262,-171,-58,99
-49,-1002,-248,-197,22,137
-407,-979,-137,-54,66,202
-473,-762,-306,-124,-69,174
-390,-807,-408,-218,-65,153
-453,-664,-543,-416,30,101
-908,-1181,-399,-436,-61,61
-881,-1117,-384,-146,-234,134
-779,-611,-674,-59,-256,189
-931,-677,-642,-110,-242,197
-967,-595,-550,-117,-219,224
-1250,-726,-545,-108,-198,229
-1373,-730,-585,-58,-257,233
-1265,-679,-616,-46,-263,234
-1150,-507,-678,-145,-234,179
-965,-477,-596,-300,-189,106
-827,-541,-505,-359,-91,83
-926,-603,-357,-312,-10,84
-1017,-624,-238,-203,-19,85
-984,-524,-215,-84,-48,78
-940,-410,-233,-15,-60,68
-921,-322,-235,5,-42,60
-959,-280,-205,1,-21,42
-982,-246,-200,-21,-14,24
-967,-272,-162,-32,-13,6
-974,-260,-148,-37,-10,-17
-971,-215,-141,-43,-17,-36
-946,-241,-129,-43,-33,-49
-898,-174,-137,-29,-32,-56
-899,-124,-127,-47,-23,-58
-873,-178,-109,-43,-17,-44
-889,-167,-86,-18,0,-26
-944,-144,-99,-10,0,-14
-925,-141,-94,-12,0,-4
-941,-164,-83,-20,4,-3
-938,-201,-64,-18,-3,-5
