accX,accY,accZ,gyroX,gyroY,gyroZ
-957,-227,-618,86,-101,-146
-828,-310,-696,-66,-39,-197
-923,-613,-614,-89,39,-223
-1069,-647,-616,-26,37,-254
-998,-725,-718,-10,54,-310
-1110,-748,-854,32,160,-279
-1276,-1005,-913,24,185,-243
-1166,-1336,-1072,53,177,-266
-763,-1713,-1515,0,238,-436
-865,-1379,-1398,259,424,-401
-871,-870,-1091,275,308,-312
-462,-1014,-885,369,199,-161
-296,-715,-650,436,139,-69
-217,-542,-399,341,26,-89
-82,-644,-320,325,-78,-69
92,-587,-360,361,-126,-42
207,-397,-346,325,-116,-78
240,-353,-177,279,8,-28
-61,-387,4,245,9,-33
73,-510,-71,236,-154,-58
286,-307,-93,205,-88,-61
265,-389,24,131,-4,-62
181,-373,177,136,84,-60
73,-232,412,48,86,-114
117,-175,483,53,38,-92
116,0,552,62,73,19
83,-276,608,18,36,59
177,-263,597,24,44,64
42,-397,661,-29,77,70
6,-540,677,-20,19,65
135,-494,527,-17,-5,56
103,-571,515,-40,64,55
-9,-660,545,-49,34,21
44,-697,334,-17,-3,12
180,-645,339,-31,10,-25
87,-608,310,-83,69,-27
10,-489,490,-33,140,43
-145,-546,639,-78,159,86
-284,-761,588,-54,31,47
-42,-675,367,23,-111,99
246,-501,243,-3,5,75
10,-529,291,-213,141,-51
-96,-692,480,-229,123,-35
-209,-726,436,-202,50,-39
-85,-732,180,-167,-104,-18
313,-561,-101,-341,-96,-97
111,-990,-200,-371,44,-20
-59,-1172,-191,-198,64,121
-171,-1016,-94,-225,-10,49
0,-741,-406,-245,-111,61
-24,-943,-539,-371,83,82
-443,-1076,-407,-311,83,96
-435,-828,-715,-224,-53,185
-439,-913,-792,-349,59,188
-758,-1276,-661,-284,47,183
-773,-873,-665,-97,-142,256
-545,-709,-1000,-210,-125,217
-719,-919,-920,-245,-34,164
-837,-680,-757,-204,-24,164
-865,-646,-876,-238,-134,59
-676,-481,-1029,-255,-155,-6
-684,-414,-1018,-234,-117,20
-639,-392,-1038,-242,-118,14
-636,-588,-1009,-229,-65,0
-724,-488,-881,-123,-22,49
-779,-358,-730,-58,-29,83
-771,-305,-683,-25,-60,95
-709,-199,-697,-13,-80,94
-631,-175,-713,-43,-61,80
-665,-156,-711,-92,-10,34
-761,-216,-701,-150,-1,-36
-727,-259,-750,-162,-32,-82
-673,-263,-753,-140,-14,-87
-708,-255,-711,-88,17,-53
-739,-226,-642,-31,7,-24
-724,-151,-653,1,-4,-8
-730,-122,-667,20,-8,12
-716,-117,-687,24,-19,12
-673,-105,-713,18,-8,-5
