accX,accY,accZ,gyroX,gyroY,gyroZ
-933,-516,-398,241,109,-162
-1038,-700,-374,321,194,-196
-1073,-485,-515,331,220,-230
-1032,-536,-714,254,256,-270
-1039,-607,-896,172,336,-305
-1081,-701,-754,186,436,-255
-1212,-717,-695,133,436,-256
-1179,-809,-817,73,409,-241
-1115,-1152,-718,76,436,-213
-1129,-1193,-799,67,387,-196
-879,-1769,-1157,-7,331,-235
-728,-1778,-1364,64,368,-221
-449,-1553,-1446,-126,347,-301
-231,-1254,-1287,-109,337,-351
-271,-685,-611,148,338,-112
-360,-612,-470,436,89,45
456,161,-1121,436,-56,-92
213,794,-988,436,30,-40
175,448,-500,366,103,121
181,135,-152,319,78,112
24,-158,244,218,57,69
46,-463,347,232,12,46
95,-502,411,163,-4,-23
124,-256,383,146,-32,-42
230,-276,359,120,0,0
202,-407,490,72,11,8
177,-486,572,41,22,10
120,-634,772,29,8,12
158,-519,660,-1,-56,-55
227,-444,507,-7,-59,-22
300,-551,437,-29,-55,4
391,-493,330,-46,-29,8
308,-670,367,-60,-3,52
267,-753,417,-53,-10,55
286,-998,322,-64,-16,41
277,-925,293,-69,9,33
281,-995,300,-87,7,3
270,-852,256,-70,10,6
257,-993,214,-52,14,17
240,-924,197,-59,23,0
192,-895,240,-68,26,-5
187,-863,231,-73,15,-17
225,-908,159,-41,6,3
229,-810,193,-79,22,-12
188,-973,214,-77,-3,-21
231,-794,191,-63,13,10
169,-970,219,-120,-12,-31
270,-837,47,-43,-22,-2
264,-863,46,-122,-5,-4
237,-988,34,-66,-21,8
286,-869,-75,-51,-20,25
244,-1060,-48,-111,-3,7
197,-1065,8,-40,-10,31
223,-1055,-25,-57,-20,11
194,-994,-7,-59,-26,0
210,-1008,-57,-52,-35,11
240,-1026,-112,-47,-33,14
194,-1069,-112,-48,-24,23
207,-1034,-127,-23,-28,20
189,-902,-140,-43,-28,26
189,-1007,-155,-48,-23,43
169,-1006,-149,-19,-22,51
128,-951,-124,-42,-18,46
97,-1007,-94,-16,-39,48
132,-896,-195,-13,-38,48
85,-1027,-135,-36,-32,50
63,-953,-209,-7,-45,48
58,-978,-181,-66,-38,38
-46,-1087,-83,3,-53,56
40,-830,-290,-45,-66,38
-39,-1115,-127,-96,-47,37
-96,-1027,-167,31,-78,56
7,-934,-260,-87,-76,12
-126,-1235,-110,-29,-85,14
0,-915,-344,-8,-102,6
-30,-1139,-229,-71,-74,-8
-47,-1042,-250,11,-93,-12
-5,-886,-324,-40,-91,-22
-58,-1044,-221,-11,-79,-3
