accX,accY,accZ,gyroX,gyroY,gyroZ
-857,-1422,273,-366,-324,-411
-660,-1640,457,-295,-218,-433
-843,-1650,494,-249,-186,-436
-693,-1655,473,-255,-140,-436
-655,-1851,511,-262,-99,-436
-643,-1763,489,-214,-79,-436
-618,-1419,466,-214,-72,-436
-492,-1421,416,-260,-78,-436
-444,-1346,356,-196,-65,-436
-404,-901,352,-113,-87,-436
-293,-550,272,-119,-137,-436
-147,-400,193,-110,-168,-436
-49,-312,97,-90,-182,-436
2,-143,-101,-76,-175,-403
50,-36,-313,-72,-165,-360
73,95,-505,-62,-135,-300
61,142,-688,-17,-105,-262
59,322,-866,33,-92,-237
73,601,-1017,30,-74,-186
208,604,-1024,6,-54,-134
141,688,-947,37,-34,-104
250,844,-943,30,-86,-57
424,650,-913,-55,-98,-8
413,447,-966,-39,-141,-7
418,478,-1274,11,-167,13
340,478,-1616,3,-142,57
220,307,-1649,14,-96,114
268,458,-1961,0,5,166
229,396,-1961,-102,188,160
173,117,-1725,-123,350,184
65,226,-1730,-99,436,191
-61,97,-1571,-198,436,201
-317,-17,-1091,-170,436,210
-417,-110,-954,-181,436,225
-443,-140,-813,-78,436,265
-701,-95,-761,21,436,296
-1532,65,-712,60,436,317
-1961,20,-621,17,436,322
-1961,-345,-87,96,436,335
-1961,93,915,171,436,334
-1961,23,1494,24,436,194
-1812,-266,1961,1,251,84
-1472,-34,1961,79,259,46
-1700,90,1961,-12,135,0
-1300,-36,1895,6,-44,-5
-901,72,1566,11,-80,-24
-782,121,1329,-24,-61,-29
-795,23,1067,-41,-94,-34
-659,-47,802,-33,-162,-51
-537,75,621,-35,-159,-71
-500,73,516,-85,-130,-74
-505,1,421,-94,-112,-69
-456,45,322,-88,-103,-61
-375,56,234,-112,-58,-45
-406,-5,182,-133,14,-13
-560,-130,219,-141,-5,23
-428,-217,237,-105,-15,58
-372,-163,233,-94,58,88
-352,-211,372,-100,118,106
-443,-267,475,-119,209,172
-696,-337,599,-153,258,217
-890,-427,607,-210,233,240
-973,-697,676,-255,206,271
-1135,-736,672,-246,198,299
-1207,-755,516,-303,135,294
-1142,-777,369,-346,96,282
-1169,-1016,334,-339,80,261
-1147,-1047,292,-194,30,209
-1009,-814,288,-113,-7,161
-897,-610,293,-113,20,132
-921,-449,255,-192,52,117
-980,-477,199,-244,49,108
-955,-468,145,-250,32,113
-906,-448,107,-242,35,106
-882,-448,90,-215,56,99
-908,-440,82,-165,76,84
-967,-402,87,-111,79,54
-1020,-376,90,-64,56,28
-1039,-317,77,-21,27,2
