accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,-564,-1645,276,-436,-190
-1961,-1001,-1961,323,-436,-86
-1961,-1189,-1961,211,-436,-142
-1961,-1915,-1961,187,-436,-197
-1961,-1722,-1961,311,-436,-378
-1961,-987,-1961,386,-436,-436
-1961,-426,-1961,427,-436,-407
-1859,-86,-1961,397,-436,-378
-1475,20,-1961,329,-436,-431
-1520,250,-1961,285,-436,-436
-1947,491,-1961,302,-436,-436
-1953,1418,-1961,267,-436,-436
-1151,1961,-1961,63,-436,-436
-855,1961,-1961,-117,-436,-436
-1216,1961,-1961,222,-436,45
598,1961,-1961,399,-249,436
-1061,1961,-1961,-347,436,436
-1961,1157,-1961,-436,436,436
-1561,394,-1961,-436,-436,436
-335,-1037,-1961,-290,-436,436
243,-455,-1961,137,-138,436
29,-578,-1961,-356,436,436
-1458,-1961,-1961,-436,436,436
-1320,-1961,-1961,-436,436,207
-1840,-1961,-1161,-436,436,80
-1088,-1961,-141,-356,436,-85
-921,-1961,781,-1,436,-233
-1961,-1961,1230,232,436,-377
-1961,-1792,1620,436,436,-436
-1961,193,1961,436,296,-436
-1737,452,1916,431,-13,-417
-1446,882,1268,381,-138,-287
-930,900,594,288,-214,-210
-766,1022,262,164,-160,-46
-656,1276,19,45,-68,88
-806,1796,-140,-83,23,176
-765,1513,-76,84,217,436
-1399,1961,283,223,436,436
-1961,1961,782,33,436,436
-1961,1716,775,-180,436,436
-1961,757,469,-221,436,436
-1961,1100,-130,-275,402,436
-1961,362,-1017,-436,436,436
-1961,-1961,-850,-436,315,436
-1718,-1961,567,-436,-190,164
-566,-1961,687,436,-213,-108
-660,1729,489,327,-243,121
359,-1,53,-436,-163,69
-21,-1961,466,-281,192,77
-464,-961,665,254,196,4
-591,-24,891,204,67,-67
-491,29,885,-40,-24,-93
-352,-476,532,-142,-11,-110
-452,-598,407,-70,53,-158
-631,-464,388,4,73,-151
-620,-584,184,90,78,-126
-594,-286,126,158,171,-247
-609,-35,399,146,156,-283
-447,291,400,188,133,-288
-416,687,464,97,45,-213
2,805,440,37,-45,-110
361,786,145,-64,230,77
-9,566,96,-138,436,49
-1225,673,54,-227,436,78
-1961,466,284,-293,436,116
-1738,39,70,-286,436,93
-1551,-10,-351,-246,367,-33
-1470,249,-763,-377,392,-149
-1567,58,-770,-436,436,-169
-1847,-202,-633,-436,436,-166
-1583,-579,-461,-436,232,-178
-1259,-727,-606,-436,39,-214
-1083,-527,-800,-355,-37,-192
-808,-519,-689,-259,2,-103
-844,-441,-535,-141,133,-55
-1004,-284,-489,-89,148,-59
-981,-143,-484,-113,56,-77
-856,-155,-459,-147,-20,-76
-809,-197,-490,-126,-33,-26
