accX,accY,accZ,gyroX,gyroY,gyroZ
-1961,450,171,-17,39,-62
-1961,368,75,-48,-149,25
-1777,109,-338,-95,-255,102
-1480,-302,-984,-57,-369,201
-1003,-662,-1642,-77,-422,209
-582,-882,-1883,-70,-390,193
-258,-995,-1847,-14,-337,195
187,-923,-1880,19,-300,148
658,-827,-1800,6,-163,68
732,-762,-1546,52,-21,32
879,-581,-1662,41,69,-45
645,-766,-1816,-17,256,-148
316,-728,-1890,-6,348,-214
-25,-581,-1953,-30,436,-259
-691,-610,-1864,-43,436,-249
-1527,-213,-1534,-31,436,-207
-1961,-330,-1177,-35,389,-151
-1961,34,-400,41,313,-38
-1961,348,412,80,73,41
-1961,500,469,-40,-184,49
-1961,91,-505,-107,-436,73
-1587,-314,-1705,-122,-436,81
-1057,-513,-1961,-73,-436,119
-510,-558,-1961,-32,-436,167
75,-792,-1961,37,-436,195
483,-639,-1961,38,-273,152
758,-609,-1651,25,-220,76
1189,-535,-1732,37,-98,22
936,-486,-1659,39,130,-31
669,-419,-1681,1,251,-103
267,-472,-1768,-22,375,-137
-173,-412,-1918,-20,436,-136
-934,-542,-1776,-21,436,-117
-1434,-207,-1494,-48,421,-124
-1961,-425,-789,17,360,-32
-1961,-122,-583,49,191,-15
-1961,-147,-169,48,49,-44
-1961,221,-87,14,-88,-49
-1632,254,-364,-3,-243,0
-1166,157,-827,-23,-331,54
-929,26,-1177,-52,-352,90
-863,-97,-1402,-53,-374,121
-676,-95,-1566,-74,-370,111
-606,-173,-1584,-102,-346,76
-465,-198,-1509,-79,-337,58
-308,-164,-1403,-58,-309,36
-132,-148,-1203,-74,-239,5
-190,-188,-919,-55,-193,2
-207,-119,-786,-68,-207,-18
-376,-186,-638,-75,-198,-20
-520,-282,-510,-21,-205,19
-615,-192,-466,49,-184,54
-674,-281,-344,57,-70,53
-907,-420,-164,171,23,17
-959,-246,-62,252,45,-15
-1120,-177,98,323,61,-35
-1055,76,135,349,3,-66
-887,299,151,263,2,-84
-882,340,190,142,18,-65
-1458,-17,927,184,-19,-1
-963,156,336,177,-256,25
-380,50,2,137,-35,-22
-825,172,37,125,220,-61
-1224,218,149,95,187,-43
-1281,263,91,41,73,-18
-1299,141,48,7,-44,21
-903,-103,21,45,-95,48
-793,-31,-18,48,-86,35
-803,58,-76,-23,-94,3
-909,96,-118,-102,-82,-26
-995,53,-122,-136,-60,-25
-1018,-9,-108,-127,-40,-7
-936,-77,-90,-105,-29,5
-844,-110,-78,-83,-13,1
-827,-95,-57,-61,6,-4
-868,-54,-41,-32,21,4
-903,-29,-21,-4,28,23
-919,17,-20,10,33,42
-925,4,-6,-3,39,57
