accX,accY,accZ,gyroX,gyroY,gyroZ
1006,243,-1186,212,-436,-97
516,52,-478,-5,88,-113
-682,213,464,-20,157,17
-346,-489,545,-54,-122,-37
-161,-315,693,39,-15,-152
-788,-59,1433,-43,85,-192
-770,-404,1527,-251,-136,-157
-262,-883,1651,-357,-165,-272
-1054,-1452,1961,-436,-159,-436
-944,-1564,1961,-246,-436,-436
-392,-618,1693,-176,-436,-436
74,23,621,-193,-436,-436
51,116,147,-208,-419,-436
-112,220,2,-156,-362,-365
70,119,-119,-183,-387,-288
236,68,-204,-165,-339,-246
434,219,-469,-204,-317,-164
295,321,-848,-201,-192,-132
531,212,-1242,-197,-300,-47
1240,-112,-1612,-113,-243,-71
906,132,-1437,-79,19,-150
921,158,-1244,2,-127,-109
1500,271,-1114,72,154,-29
852,35,66,-3,436,67
179,-487,1028,96,436,-14
-98,55,1220,252,436,-73
-85,307,1541,188,436,-63
-345,175,1886,137,298,1
839,59,1631,10,-180,38
853,-84,1074,-104,-77,-82
450,328,903,-71,-261,-55
970,45,677,-163,-210,56
308,-111,1102,-157,-157,6
712,-179,456,-149,-285,107
783,-456,407,-136,-44,2
561,134,486,16,-140,-88
1035,330,-159,-94,-197,9
1470,-171,-285,-148,30,64
873,-205,-7,-85,132,-11
792,205,-346,64,-172,-30
1450,750,-1160,61,-214,54
1168,534,-1080,9,77,142
959,308,-1001,213,96,152
453,309,-889,56,402,240
-13,161,-595,-62,436,315
173,-45,-472,-86,436,356
70,81,-290,48,436,424
-655,660,-69,-127,436,436
-813,24,92,-297,436,436
-1041,-164,145,-377,436,436
-1084,-919,-105,-283,436,436
-1961,-511,95,-282,436,436
-1961,-1378,250,-236,297,419
-1738,-555,-415,-84,242,415
-1961,-499,-767,-377,436,436
-1961,-1309,-599,-436,233,378
-1709,-1961,-706,-436,13,114
-1179,-1616,-361,-159,68,-151
-1076,-438,8,124,31,-251
-864,351,58,61,-65,-175
-529,84,-226,-70,-83,-59
-646,-166,-414,-73,68,9
-1110,-273,-436,-59,99,51
-1135,-421,-386,-33,15,41
-863,-425,-423,25,-25,5
-787,-251,-409,33,3,-24
-855,-169,-334,3,8,-25
-875,-167,-344,-32,-9,-24
-855,-202,-392,-47,-20,-26
-820,-245,-424,-36,-7,-15
-879,-277,-396,1,7,10
-855,-275,-371,49,1,29
-863,-242,-370,54,1,27
-841,-246,-369,41,6,20
-924,-240,-339,24,2,5
-865,-217,-358,1,-5,-7
-855,-224,-362,-7,6,-8
-857,-219,-347,-4,8,-6
-855,-214,-324,0,6,1
