accX,accY,accZ,gyroX,gyroY,gyroZ
-1574,-1430,420,-151,-118,-394
-1628,-1255,293,-138,-139,-436
-1629,-1389,192,-159,-104,-436
-1784,-1295,102,-88,-123,-436
-1568,-1164,-46,-95,-149,-436
-1404,-1171,-7,-25,-103,-436
-1220,-858,-104,0,-125,-436
-956,-1018,-125,-22,-98,-436
-875,-890,-104,52,-73,-436
-626,-746,-89,46,-104,-436
-443,-706,-89,-5,-56,-436
-429,-808,-15,13,-59,-436
-326,-626,-6,17,-82,-436
-221,-503,13,-12,-75,-428
-248,-423,180,-41,-76,-436
-187,-165,250,-13,-141,-436
-32,544,16,-8,-220,-419
306,1041,-278,-72,-254,-343
584,1281,-807,-51,-197,-205
945,1285,-1258,-52,-56,-46
863,947,-1270,-50,211,86
672,424,-944,-41,374,155
435,112,-524,-33,426,174
548,-278,-352,-54,408,167
483,-607,-138,-26,436,120
447,-598,100,-14,436,65
305,-816,470,-6,436,7
265,-577,640,12,424,-44
169,-721,850,14,436,-96
-253,-580,1182,0,436,-156
-20,-480,1342,8,306,-207
-211,-185,1391,8,292,-223
-74,103,1398,43,177,-224
7,697,1352,24,185,-187
-106,967,1370,-48,129,-90
-23,1016,1321,-118,90,25
-152,523,1391,-40,58,102
-137,1058,1194,40,-10,208
-131,842,1038,-61,-15,302
-248,426,1005,-37,7,382
-401,260,1021,38,6,425
-390,131,999,62,-35,436
-309,94,978,74,44,436
-782,68,1226,45,60,431
-529,-187,1205,84,-117,421
-340,73,1090,149,-5,433
-695,133,1234,139,-31,434
-411,348,954,128,-75,436
-619,529,712,-48,53,436
-991,-107,643,-132,54,436
-591,-455,428,-91,46,436
-411,-1190,722,-37,183,385
-733,-1619,1057,49,148,186
-541,-854,848,70,-82,-89
-157,-206,480,73,-179,-136
282,-84,226,16,-13,-146
-217,34,452,-68,154,-160
-300,-67,523,-73,129,-179
-306,163,485,-72,148,-172
-139,183,436,-117,200,-133
-353,-34,506,-124,317,-107
-479,-113,559,-70,302,-82
-512,-196,599,-41,357,-59
-859,-94,762,-4,341,-47
-665,43,710,-40,291,-18
-808,-64,616,-124,360,5
-1025,-224,678,-137,346,21
-1051,-147,590,-124,278,39
-1069,-190,467,-151,231,71
-1095,-254,440,-152,215,81
-1124,-204,386,-133,240,92
-1258,-175,364,-128,221,107
-1211,-167,303,-146,155,99
-1204,-137,243,-153,132,106
-1200,-51,147,-175,130,119
-1239,-93,77,-240,130,113
-1246,-145,21,-287,93,103
-1141,-214,-43,-321,56,82
-1161,-243,15,-306,50,59
