accX,accY,accZ,gyroX,gyroY,gyroZ
-946,-119,-1484,-140,436,-244
-1135,-185,-1360,-188,436,-199
-1180,-201,-1222,-185,436,-144
-1123,-358,-998,-125,436,-84
-934,-243,-873,-79,436,-52
-765,-264,-600,-51,436,17
-1961,-554,999,-73,436,3
-1412,224,199,30,-436,-46
-182,-672,-328,-5,-436,50
58,-430,-375,42,-306,6
-371,-316,-434,-59,-93,-18
-811,-608,-462,4,-252,6
-860,-594,-795,127,-436,44
-636,-521,-1114,182,-436,78
-518,-466,-1164,202,-436,129
-622,-296,-1114,114,-419,124
-733,-342,-1021,41,-395,146
-561,-499,-1081,-15,-379,154
-432,-641,-1199,-77,-210,108
-483,-812,-1342,-97,-82,50
-300,-891,-1443,-76,-7,-28
-207,-755,-1495,-3,255,-30
-532,-609,-1426,13,436,-47
-892,-462,-1282,4,436,-79
-829,-338,-1313,-29,436,-100
-898,-399,-1188,-63,436,-86
-874,-341,-976,-32,436,-81
-782,-235,-804,-83,436,-86
-794,-301,-451,-53,436,7
-1259,14,1560,-107,436,46
-1946,-1615,1026,-436,413,-309
-1192,-539,279,332,-436,216
-361,-310,-392,270,-436,171
-27,-175,-662,4,-436,71
-230,-648,-685,-102,-190,44
-687,-667,-598,23,-225,39
-820,-431,-796,66,-426,42
-603,-482,-960,36,-436,14
-424,-378,-939,37,-410,30
-647,-304,-785,-19,-240,57
-827,-406,-627,26,-295,94
-751,-259,-619,15,-302,109
-750,-318,-551,-26,-249,115
-747,-285,-475,-19,-214,104
-803,-240,-380,-31,-161,96
-824,-211,-317,-21,-154,100
-752,-230,-310,-30,-126,93
-769,-220,-251,-17,-60,99
-842,-226,-206,-42,-15,99
-861,-292,-144,-71,-18,76
-858,-382,-128,-96,-9,43
-847,-424,-136,-63,4,37
-913,-380,-112,-35,11,28
-856,-329,-129,-33,1,2
-832,-299,-88,-8,28,-2
-905,-194,-5,17,41,0
-924,-95,46,0,25,-13
-885,-55,75,-7,17,-8
-876,-23,80,-9,17,5
-878,-28,61,-11,15,16
-873,-34,36,-13,14,30
-914,-79,49,-5,5,37
-899,-86,25,-1,-9,38
-873,-83,1,-7,-1,31
-891,-82,2,-18,6,23
-889,-121,8,-14,8,25
-905,-106,22,5,5,30
-880,-93,22,14,-3,29
-881,-74,12,5,2,18
-889,-58,11,0,1,15
-878,-74,-4,-1,2,15
-898,-73,-1,12,4,23
-903,-48,2,23,-4,24
-870,-16,-5,24,-5,21
-874,24,1,0,-3,11
-858,-3,1,-17,0,2
-867,-8,-4,-24,11,0
-902,-23,2,-22,10,5
-880,-38,-7,-18,3,3
