accX,accY,accZ,gyroX,gyroY,gyroZ
-1288,-899,-651,405,72,-264
-1261,-902,-752,436,64,-313
-1310,-1042,-764,436,47,-359
-1253,-921,-823,436,27,-383
-1187,-924,-708,436,21,-407
-1170,-866,-717,436,-8,-432
-973,-704,-635,436,-35,-436
-809,-860,-517,436,-9,-436
-732,-824,-572,436,31,-436
-688,-689,-471,436,53,-436
-590,-715,-301,436,96,-436
-806,-321,-58,436,117,-436
-731,319,355,436,-51,-436
-351,594,607,322,-117,-360
-308,680,918,217,-73,-305
-401,656,1224,155,-130,-244
-253,782,1211,216,-177,-142
-274,807,1245,194,-104,-92
-625,789,1355,207,-130,-58
-610,873,1140,258,-269,-14
-393,1097,836,277,-277,31
-372,1173,680,231,-228,87
-400,1101,629,206,-219,123
-328,1135,504,227,-248,159
-44,1107,433,245,-223,172
-15,1204,419,250,-121,199
-61,1047,434,237,-125,220
148,897,333,271,-145,226
294,885,276,292,-67,228
246,851,343,271,-8,240
262,680,370,264,-10,250
335,647,302,259,-21,252
395,573,256,174,14,265
423,350,415,148,39,275
401,380,413,126,2,288
441,299,244,77,-81,297
621,108,9,40,-76,310
552,23,-42,47,-61,309
531,54,-127,51,-60,323
488,-87,-175,21,-65,327
512,-180,-221,60,-66,332
427,-233,-201,44,-32,340
335,-330,-139,65,-28,362
282,-414,-179,37,-23,376
181,-551,-139,46,0,357
48,-572,-169,22,5,339
-83,-737,-129,48,-15,326
-101,-682,-206,61,-50,291
-97,-820,-181,89,-48,269
-236,-644,-169,68,14,273
-388,-785,-185,24,-4,275
-450,-777,-214,66,-7,306
-558,-767,-171,42,13,303
-588,-837,-239,99,-11,269
-690,-754,-205,166,34,287
-961,-595,-121,150,37,314
-1013,-812,-110,113,-7,348
-1018,-913,-112,134,23,399
-1148,-828,-138,131,80,399
-1462,-773,-62,83,81,384
-1418,-800,-72,30,-15,334
-1258,-791,-115,42,-24,296
-1352,-760,-106,71,8,314
-1381,-590,-118,88,39,331
-1414,-528,-107,91,43,343
-1309,-421,-63,118,77,377
-1286,-233,-65,70,123,318
-1307,-403,38,31,121,233
-1325,-380,99,74,73,143
-1282,-262,81,139,0,82
-1134,-68,38,159,-41,53
-1049,12,16,123,-43,27
-1008,-28,24,113,-28,13
-1040,-31,50,129,-11,-1
-1095,-36,45,171,-52,-33
-1005,71,-40,205,-93,-65
-923,232,-124,181,-82,-83
-935,285,-106,109,-58,-79
-883,250,-89,58,-39,-59
