accX,accY,accZ,gyroX,gyroY,gyroZ
-1207,-420,-687,280,189,-141
-1116,-456,-690,183,194,-150
-1080,-462,-753,169,222,-156
-972,-640,-762,119,223,-170
-941,-693,-782,105,249,-162
-812,-602,-808,120,244,-152
-702,-599,-748,96,241,-146
-645,-718,-631,110,230,-121
-542,-663,-570,164,203,-81
-492,-701,-589,170,162,-81
-347,-619,-520,153,126,-82
-290,-749,-373,117,149,-71
-344,-778,-189,154,72,-67
-231,-739,-221,137,-36,-76
-30,-792,-325,137,-48,-74
-58,-806,-284,155,19,-54
-155,-879,-225,151,-6,-57
-64,-965,-241,150,-28,-74
-109,-1018,-188,176,-6,-83
-144,-914,-150,205,-41,-98
-27,-831,-135,160,-50,-119
-79,-964,-42,157,-33,-124
-1,-874,18,154,-34,-118
-12,-849,90,145,-53,-124
94,-749,119,156,-71,-105
130,-632,121,118,-66,-98
173,-578,127,83,-84,-94
230,-550,152,76,-81,-81
275,-414,151,45,-71,-67
317,-307,159,16,-51,-43
294,-309,130,-19,-30,-14
311,-400,130,-16,-16,23
277,-427,152,-13,4,56
261,-542,154,-29,10,67
264,-572,155,-37,9,75
277,-571,126,-49,26,91
197,-578,110,-62,41,101
161,-671,87,-52,45,116
153,-661,12,-59,75,136
36,-835,16,-84,132,132
-59,-798,80,-95,119,113
-44,-864,0,-172,103,100
-136,-1124,97,-105,113,106
-152,-873,138,-69,51,96
-144,-815,92,-92,27,101
-212,-784,87,-113,27,120
-384,-903,181,-142,10,116
-452,-858,112,-104,-100,108
-377,-949,-13,-118,-129,117
-481,-875,-139,-86,-109,144
-478,-853,-251,-209,-81,138
-682,-1076,-146,-164,-92,153
-718,-809,-308,-140,-111,175
-833,-872,-325,-171,-133,187
-835,-764,-383,-160,-131,199
-978,-738,-458,-188,-104,206
-1120,-717,-539,-197,-146,180
-1024,-654,-549,-195,-175,193
-1013,-514,-593,-201,-118,200
-1154,-510,-661,-288,-109,163
-1170,-657,-547,-294,-146,135
-1100,-467,-505,-238,-154,119
-1061,-244,-564,-293,-164,97
-949,-319,-614,-375,-148,77
-918,-464,-488,-335,-91,81
-1009,-546,-373,-251,-66,102
-987,-548,-309,-116,-75,110
-943,-425,-285,-35,-56,103
-930,-305,-265,-29,-26,74
-925,-276,-236,-53,-2,41
-944,-276,-203,-62,7,5
-965,-252,-174,-66,6,-17
-942,-193,-196,-81,-1,-34
-940,-132,-205,-106,-5,-45
-918,-157,-188,-126,-21,-51
-881,-179,-187,-106,-9,-51
-923,-122,-169,-80,5,-43
-943,-125,-147,-56,-1,-29
-916,-113,-156,-28,-2,-21
