accX,accY,accZ,gyroX,gyroY,gyroZ
291,-1395,245,436,166,-220
151,-1123,299,436,141,-190
329,-763,254,436,87,-165
344,-381,243,436,110,-135
404,-188,248,436,105,-105
386,-62,234,436,150,-41
234,99,270,436,113,-26
430,285,157,436,33,-32
507,300,138,381,19,-35
528,263,55,384,60,-50
398,243,-15,424,69,-53
282,311,-94,436,-3,-33
437,273,-323,436,-55,-45
414,56,-299,436,-79,-42
491,171,-836,436,-158,-49
520,546,-1616,255,-138,-153
-294,150,-1837,67,-44,-219
-1270,681,-1961,136,-219,-13
-748,877,-1919,-76,-287,99
-498,947,-1164,-104,-227,197
193,326,-964,-46,-344,210
248,717,-1187,87,-291,167
60,579,-1422,34,-316,224
375,322,-1436,49,-238,283
543,237,-1256,121,-50,272
-22,313,-1350,109,-8,347
412,982,-1479,-304,-145,436
771,-37,-1510,-436,-57,297
65,-1352,-718,-436,50,225
307,-942,-449,-422,-36,269
133,-712,-525,-436,51,105
-173,-1919,-705,-436,169,84
-335,-1961,111,-436,242,105
-725,-1961,1470,-436,396,146
-956,-1489,1961,-327,316,154
-312,-841,1961,-436,19,0
-352,-1278,1961,-338,103,-28
-735,-710,1961,-204,138,12
-515,-788,1961,-221,52,6
-468,-802,1961,-117,53,13
-447,-621,1961,-29,10,-4
-316,-478,1692,2,-3,11
-265,-494,1541,10,-2,4
-269,-449,1471,13,-30,-3
-116,-490,1287,38,-11,-11
-274,-466,1296,70,-12,-24
-292,-466,1296,43,-100,-53
49,-717,1072,69,-99,-72
147,-691,903,134,15,-79
-83,-710,912,107,36,-101
-5,-831,887,169,-19,-112
96,-378,647,311,40,-85
-46,-147,730,211,100,-76
-97,24,818,189,90,-57
-21,195,863,123,60,-43
-246,261,990,56,5,-40
-27,514,789,53,-51,30
-6,487,823,-104,-25,27
-307,473,936,-144,-70,35
-115,537,767,-197,-174,144
237,191,691,-273,-163,189
76,78,890,-286,-99,160
-200,-48,988,-300,-163,210
245,-169,807,-384,-227,280
190,-623,847,-436,-186,267
282,-639,1008,-436,-236,251
622,-1286,1062,-436,-49,277
-117,-1513,1307,-286,-107,245
444,-885,862,-252,-193,247
552,-1264,742,-406,11,269
48,-1600,870,-312,70,212
100,-1347,772,-183,22,168
-314,-1110,1040,-201,34,176
-352,-1255,978,-436,-356,67
492,-1863,386,-197,-138,21
327,-1356,423,158,67,75
-65,-913,579,133,122,61
-156,-945,569,19,29,12
-162,-990,512,-15,-62,-20
