accX,accY,accZ,gyroX,gyroY,gyroZ
706,-1961,1067,375,195,-306
872,-1961,839,434,213,-306
893,-1961,655,436,276,-274
719,-1961,596,436,277,-232
799,-1961,431,436,203,-210
783,-1929,368,436,230,-210
814,-1637,247,436,254,-166
670,-1387,268,436,347,-109
404,-1390,411,436,257,-109
524,-1051,199,436,166,-105
476,-738,237,436,177,-73
386,-952,226,436,75,-90
400,-1033,-159,436,67,-84
290,-869,-340,436,33,-85
459,-620,-501,436,60,-161
238,-625,-489,436,167,-147
125,-699,-459,436,178,-128
129,-801,-627,436,199,-168
-175,-935,-1000,436,175,-65
-721,-1661,-1598,436,-112,-14
-628,-1961,-1961,436,-345,-53
-590,-1548,-1961,436,-257,-143
-737,-675,-1961,286,-50,-26
-1010,-793,-1961,-316,53,115
-930,-1047,-1107,-410,38,265
-604,-839,-513,-203,53,331
-471,-378,-204,-33,64,384
-476,-234,-97,-61,-39,416
-195,-394,-288,77,-171,419
-31,-359,-650,153,-214,435
91,-453,-792,105,-147,436
-60,-777,-723,-27,-138,396
-33,-886,-1051,126,-68,342
-184,-363,-1206,270,18,390
-298,123,-1174,-87,-7,436
-265,-451,-1229,-436,-55,436
27,-701,-1071,-436,16,436
41,-662,-828,-436,103,404
212,-539,-790,-436,165,328
352,-467,-842,-436,378,250
85,-891,-729,-436,436,118
-289,-1961,-537,-436,436,-63
-1744,-1961,1182,-436,436,-97
-1341,-1961,1961,-434,-312,14
307,-1059,1961,-167,-436,87
1212,-826,1414,-10,-296,-2
1067,16,1637,36,250,0
-344,-127,1961,-160,322,12
-325,-202,1805,3,8,-68
-32,463,1520,-104,24,31
-50,-405,1288,-171,-33,-14
53,89,1088,-96,11,10
-78,-279,1122,-195,-33,9
94,-80,985,-180,-5,-14
-124,-305,1162,-250,32,40
-29,-357,1071,-233,-52,-8
-40,-448,1091,-240,-29,37
6,-473,1086,-206,-90,19
138,-479,970,-276,-25,54
-46,-759,1084,-261,-46,19
151,-643,934,-289,-35,52
-67,-967,1118,-270,-34,36
152,-758,927,-215,-56,53
29,-993,988,-303,4,79
-122,-1095,1074,-224,-159,-2
178,-922,870,-238,-210,9
260,-1193,730,-257,-195,15
406,-1179,535,-126,-124,20
299,-1016,538,-97,-41,29
136,-1019,536,-116,-52,21
174,-962,484,-98,-116,0
243,-920,384,-173,-136,-10
277,-1171,340,-170,-124,14
295,-1049,387,-99,-126,1
262,-1040,383,-147,-106,4
223,-1182,400,-102,-122,20
286,-1048,317,-63,-137,26
281,-1084,256,-80,-133,24
326,-1077,222,-46,-139,21
