accX,accY,accZ,gyroX,gyroY,gyroZ
783,-1309,912,436,121,-267
845,-1222,754,436,60,-288
990,-1035,510,436,79,-328
819,-866,340,436,107,-373
728,-576,154,436,130,-397
631,-280,60,436,158,-425
399,-175,28,436,141,-436
289,-5,-117,436,141,-435
41,64,-230,436,151,-421
-130,86,-336,434,96,-422
-210,31,-482,422,80,-414
-339,-3,-502,402,87,-395
-458,-107,-592,356,33,-382
-506,-286,-619,307,18,-379
-697,-427,-590,278,-14,-342
-725,-728,-629,257,-51,-288
-917,-929,-616,280,-48,-266
-1025,-914,-627,299,-76,-172
-1021,-946,-656,274,-35,-105
-1088,-1022,-641,235,34,-61
-1104,-1057,-722,244,108,22
-1056,-912,-828,236,145,175
-831,-881,-943,185,149,330
-543,-869,-1043,126,170,426
-470,-903,-1038,49,192,436
-445,-853,-1079,-38,214,436
-419,-718,-1071,-148,211,436
-268,-769,-1069,-347,218,436
-182,-780,-1053,-436,234,436
-37,-842,-1054,-436,273,436
-103,-1567,-1120,-436,360,436
-495,-1961,-127,-436,258,436
1135,-1961,479,-436,239,175
-1094,-1961,1961,-436,436,356
-926,-1961,1961,-369,-203,388
1961,-78,1662,-224,-202,118
473,-1217,1961,-380,255,-11
-119,-819,1961,-62,8,-53
426,-332,1863,-49,31,-61
-2,-336,1961,-122,83,-14
130,-618,1961,-82,-18,11
476,-598,1624,28,-24,-34
285,-329,1516,40,-6,-73
207,-404,1330,74,-47,-81
236,-170,1101,114,-87,-90
284,-158,989,57,-64,-70
212,-188,927,43,-78,-52
332,-68,808,2,-108,-48
359,-40,805,-86,-57,-39
181,-261,905,-123,-55,-16
234,-232,886,-89,-94,-10
281,-246,920,-120,-97,15
276,-401,903,-100,-118,46
487,-299,835,-77,-118,57
411,-371,950,-141,-90,69
531,-567,881,-110,-142,93
900,-298,771,-116,-56,84
597,-495,948,-219,24,92
568,-776,956,-198,-18,106
544,-615,1008,-233,-50,110
463,-885,939,-215,-108,136
592,-749,869,-153,-132,148
453,-801,912,-183,-144,169
428,-981,810,-136,-200,194
548,-914,699,-61,-217,204
517,-945,625,-46,-203,234
570,-1051,538,-2,-221,270
523,-927,555,-15,-241,244
512,-1091,499,-32,-303,228
713,-1120,385,-13,-290,223
675,-1133,404,-1,-229,199
227,-1178,679,12,-310,178
690,-1033,223,49,-375,152
637,-1008,212,6,-272,129
583,-999,250,11,-181,95
538,-1043,288,3,-108,59
467,-1084,323,10,-48,29
341,-1122,355,23,-20,6
242,-1088,360,31,-34,-14
