accX,accY,accZ,gyroX,gyroY,gyroZ
117,-14,-771,436,-26,-103
167,150,-1023,436,33,-90
-72,234,-1004,427,74,-88
-297,90,-1360,419,-43,-58
37,663,-1769,367,-7,138
161,365,-1579,-10,-12,260
372,-238,-1461,-127,-156,285
785,-233,-1682,-53,-241,276
885,66,-1812,-13,-152,291
651,357,-1677,-153,-197,335
745,325,-1699,-335,-318,328
974,359,-1732,-436,-326,329
1093,161,-1675,-436,-283,248
973,510,-1558,-436,-235,207
927,-111,-1525,-436,-215,126
908,-864,-1381,-436,-120,102
546,-1409,-1392,-436,-30,43
47,-1961,-1541,-436,-87,-88
56,-1961,-1544,-436,-88,11
283,-1961,-1636,-436,187,50
-513,-1961,-772,-436,331,19
-302,-1961,38,-436,85,22
74,-1961,36,-436,50,-165
29,-1898,-652,-332,256,-207
-921,-1667,-708,-266,254,-183
-437,-1275,-1154,-436,20,-49
-350,-1961,-1028,-436,72,-39
-161,-1961,-554,-436,-149,-123
519,-1953,-1052,-340,147,29
-594,-1961,-56,-292,138,-14
10,-1815,-290,-155,-139,-138
404,-1295,-519,-86,-14,-36
26,-1440,-174,-137,89,43
-382,-1460,160,-78,-72,-61
-404,-1152,78,-79,-325,-140
-157,-1171,-217,-47,-436,-159
200,-850,-383,-40,-436,-205
427,-869,-501,-72,-436,-194
394,-1018,-451,-2,-360,-175
151,-955,-231,2,-333,-190
163,-850,-300,14,-363,-183
138,-834,-333,-17,-361,-172
254,-763,-376,-14,-327,-165
327,-704,-357,-51,-224,-148
114,-899,-219,-114,-140,-146
14,-960,-185,-47,-164,-134
143,-862,-278,-19,-146,-132
26,-911,-211,-42,-91,-151
-19,-822,-210,-27,-79,-124
-97,-791,-165,-65,-71,-76
-12,-779,-260,-60,-48,-9
86,-909,-324,-118,37,34
-73,-1052,-209,-41,67,27
-45,-866,-247,55,26,16
29,-800,-313,24,0,-16
39,-867,-344,41,5,-42
18,-767,-351,43,26,-32
-78,-832,-260,22,14,-28
-50,-797,-276,34,-28,-30
26,-763,-301,-1,-48,-33
45,-831,-291,-15,-34,-33
27,-803,-283,0,-24,-12
61,-805,-283,-9,-7,12
44,-858,-240,-6,2,10
22,-849,-237,0,-14,-3
74,-834,-272,-5,-20,-4
88,-844,-258,-12,-5,-6
60,-840,-229,-16,7,-6
41,-893,-204,-30,8,-6
48,-923,-200,0,0,-13
72,-888,-210,11,0,-25
33,-877,-197,32,-15,-44
32,-781,-253,43,-30,-56
13,-741,-262,0,-32,-51
33,-820,-259,-39,-30,-17
95,-875,-254,-44,-2,18
90,-904,-214,-61,24,32
57,-991,-165,-56,35,36
53,-1016,-133,-9,26,25
