accX,accY,accZ,gyroX,gyroY,gyroZ
603,-1961,-398,436,409,-167
526,-1813,-355,436,381,-138
448,-1438,-229,436,374,-120
298,-1261,-51,436,367,-68
203,-990,76,436,307,-56
185,-745,157,436,216,-71
239,-556,114,436,203,-44
187,-400,124,436,206,-27
97,-218,112,436,184,-39
72,-35,62,436,152,-17
93,107,11,436,130,-9
5,158,20,436,78,20
200,65,-108,354,34,13
260,-166,-222,347,51,-26
523,-104,-624,436,142,-38
460,5,-744,436,304,-1
358,209,-719,436,291,-21
156,-1,-764,158,161,-2
376,-767,-1581,168,20,-37
204,-1037,-1961,436,112,-70
-134,-420,-1961,436,133,-90
-173,647,-1961,436,214,50
-274,847,-1961,-165,115,125
77,201,-1646,-436,-108,149
325,44,-1194,-249,-242,213
575,-20,-1258,-118,-308,212
605,-7,-1389,-98,-367,176
618,-155,-1359,-121,-380,104
313,-116,-1185,-34,-388,87
187,120,-1114,40,-418,173
186,228,-1059,-21,-408,277
231,115,-980,-167,-394,293
179,-5,-829,-241,-286,307
-25,-84,-670,-288,-253,369
85,-125,-637,-385,-303,421
366,-326,-725,-436,-292,338
275,-414,-621,-436,-214,320
407,-566,-547,-436,-166,302
569,-611,-489,-436,-15,220
165,-883,-248,-436,152,244
-187,-1446,158,-436,59,196
-43,-1961,536,-436,-20,221
327,-1830,1183,-436,-89,149
618,-1801,1457,-436,4,125
261,-1888,1926,-373,-83,-28
394,-1457,1804,-307,-215,-99
600,-1265,1590,-283,-85,-46
425,-1414,1517,-155,82,38
184,-1004,1525,-136,192,71
77,-1082,1445,-157,208,73
-210,-1080,1303,-105,231,76
-477,-996,1202,-25,50,24
-217,-572,858,24,-134,-2
184,-394,622,-95,-168,18
290,-481,739,-312,-124,-14
156,-1008,851,-403,-41,-28
19,-1319,881,-109,-10,-16
-3,-787,775,18,-18,-3
-21,-672,757,-64,-63,-4
132,-750,763,-125,-98,21
376,-885,896,-189,-4,76
83,-1320,1310,-183,94,87
-16,-1630,1443,-68,18,72
96,-1478,1213,87,-59,27
282,-1171,928,111,-74,-1
342,-1071,766,102,-14,-2
212,-1010,698,166,71,11
60,-805,617,216,71,0
41,-608,531,209,33,-17
17,-452,481,134,0,-35
13,-412,420,32,-31,-43
4,-458,357,-50,-59,-61
-46,-492,338,-104,-100,-80
61,-446,228,-156,-105,-37
125,-570,197,-220,-54,11
-11,-713,266,-280,-28,15
-88,-850,256,-321,-68,45
39,-1039,213,-269,-131,43
87,-933,108,-297,-137,37
