accX,accY,accZ,gyroX,gyroY,gyroZ
1079,-1961,812,160,-223,-407
1390,-1961,385,235,-87,-436
1351,-1961,110,348,63,-436
1342,-1961,-132,367,134,-436
1091,-1961,-168,387,214,-436
917,-1822,-274,434,152,-436
841,-1340,-358,411,183,-436
465,-1191,-172,374,200,-436
124,-1021,-67,430,85,-436
-19,-388,22,436,-21,-436
-181,115,138,257,-195,-436
-144,-100,94,-47,-284,-436
-355,-176,172,-11,-286,-436
-223,147,136,-120,-320,-436
-196,-149,269,-283,-177,-436
-478,-331,452,-297,-121,-420
-514,-375,605,-376,-156,-436
-666,-625,808,-356,-153,-401
-745,-614,975,-299,-100,-401
-1020,-543,1252,-238,19,-320
-1646,-548,1961,-132,3,-194
-1903,-547,1961,149,-31,20
-1219,-10,1772,152,-144,146
-713,-1066,1616,297,90,247
-1459,-280,1332,436,156,344
-1621,-363,939,388,-35,436
-1228,-556,548,320,-87,436
-1017,-570,186,364,-46,436
-886,75,-63,289,-54,436
-324,-302,-329,44,-141,436
361,-397,-687,191,67,436
-7,501,-615,63,74,436
1103,-476,-1176,-436,-94,436
1313,-1157,-1343,-436,-35,436
1961,-1498,-1961,-436,-38,436
1961,-1421,-1470,-411,347,294
1740,-1277,-414,-436,350,67
1694,-1609,-187,-436,271,-91
1302,-1961,-111,-436,250,-249
1622,-1961,-72,-436,163,-339
1167,-1961,110,-436,269,-427
847,-1961,234,-436,224,-416
659,-1961,489,-436,371,-356
-179,-1961,1062,-290,312,-411
-87,-1262,1341,-85,139,-253
0,-1190,1514,-172,230,-182
-771,-1155,1961,-6,171,-50
-124,-855,1769,80,-79,68
-470,-704,1865,2,24,153
-221,-1359,1961,95,-36,302
-601,-1513,1961,391,-85,436
-222,-1686,1626,436,-294,436
613,-1961,1270,436,-161,436
173,-1961,1220,436,-62,436
565,-1961,698,436,-154,436
564,-1961,518,436,151,436
-1478,-1961,619,287,-415,436
601,-1961,-1256,270,-436,436
1961,-1402,-1961,436,-426,436
1961,-277,-1282,320,32,78
336,-763,458,-339,397,-112
212,-1150,645,204,64,50
866,309,230,345,39,52
646,184,449,-233,9,-1
703,-644,573,-300,-20,-4
732,-772,651,-74,-32,-45
835,-345,506,42,50,-84
553,-301,560,-150,126,-122
373,-550,612,-270,38,-155
510,-639,416,-392,54,-154
263,-1038,484,-436,129,-134
161,-945,540,-253,112,-86
148,-644,660,-173,87,-58
252,-336,751,-119,40,-3
77,7,724,-299,0,79
378,-459,730,-436,-106,163
428,-728,691,-382,-54,227
233,-972,771,-334,-146,250
474,-1167,532,-221,-94,372
