accX,accY,accZ,gyroX,gyroY,gyroZ
1371,-1454,-63,-107,52,-269
1401,-1686,-222,-126,66,-344
1448,-1757,-398,-118,108,-423
1421,-1787,-586,-120,173,-436
1331,-1828,-757,-111,266,-436
1182,-1715,-764,-125,290,-436
1140,-1562,-690,-147,274,-436
1167,-1427,-764,-154,313,-436
955,-1084,-635,-112,385,-436
909,-707,-523,-162,394,-436
869,-720,-404,-224,413,-436
719,-692,-308,-168,420,-435
569,-499,-329,-152,416,-436
379,-415,-269,-199,394,-436
155,-404,-237,-228,370,-431
76,-373,-299,-304,328,-414
171,-633,-460,-380,367,-388
-63,-907,-499,-377,436,-383
-410,-1161,-416,-352,436,-415
-788,-1369,-251,-327,436,-436
-1292,-1781,-45,-247,436,-436
-1961,-1823,500,-154,398,-405
-1961,-1518,1281,-63,280,-218
-1961,-975,1774,-9,-42,39
-1961,-1559,1180,118,-292,275
-1509,-1626,528,358,-303,357
-979,-1042,75,436,-279,405
-734,-533,-375,347,-289,436
-469,-191,-734,211,-359,422
179,-132,-997,69,-409,346
636,95,-1053,-86,-436,258
1198,23,-1029,-328,-436,143
1396,76,-714,-436,-436,63
1866,-236,-547,-436,-436,-28
1961,-482,-413,-436,-436,-78
1961,-556,-266,-436,-384,-123
1961,-892,-315,-436,-330,-169
1578,-1531,186,-436,-310,-247
1924,-1961,325,-436,-340,-140
1579,-1961,1138,-424,-157,-91
1163,-1961,1728,36,-338,-111
1467,-1140,999,35,-200,-20
715,-1961,1338,120,-138,20
400,-1625,1241,356,-276,-22
651,-1947,688,436,-302,18
656,-1961,358,436,-208,78
523,-1961,310,436,-169,114
188,-1961,-234,436,-307,29
59,-1961,-1961,436,-327,-191
-541,-1961,-1961,436,-214,-224
-1961,-879,-1961,436,-436,-268
625,518,-1961,242,-436,-22
1297,-237,-1556,-271,-130,132
778,-1160,-464,-217,135,85
442,-755,-153,-81,76,-52
356,-750,-89,-132,-58,-127
554,-813,-138,-91,-71,-100
657,-652,-64,-84,15,-42
611,-542,104,-108,66,-14
570,-463,210,-122,39,-9
541,-473,246,-97,-31,-10
612,-498,180,-19,-86,-24
572,-432,91,73,-81,-6
623,-342,71,165,-131,37
842,-118,-43,162,-61,100
538,-422,141,144,-14,156
772,-434,10,260,-86,222
866,-390,-19,253,-66,267
1041,-711,-50,179,-77,300
1075,-985,-98,254,-90,299
1137,-653,-99,216,-114,272
1110,-985,-57,103,-93,285
897,-1042,-7,133,-136,245
986,-979,-68,108,-173,235
1015,-1031,-43,88,-101,241
810,-1040,45,78,-41,225
681,-1126,53,105,-26,226
610,-1020,73,103,-20,223
509,-1131,138,41,-21,220
