accX,accY,accZ,gyroX,gyroY,gyroZ
683,-1472,-1011,436,187,-436
647,-1409,-979,436,206,-436
642,-731,-1181,436,304,-436
326,-426,-716,436,379,-432
156,-469,-496,436,272,-435
269,-487,-820,332,226,-436
231,-779,-1146,254,296,-436
-71,-1006,-1245,257,315,-415
-403,-1440,-1411,271,253,-426
-669,-1380,-1803,395,187,-436
-914,-1097,-1780,304,253,-436
-1961,-1294,-1483,401,265,-436
-1961,-373,-1961,436,244,-366
-1961,1574,-1961,436,316,326
-1690,424,-1072,-436,46,436
-985,-1961,-1694,-436,-368,318
-40,-1348,-1797,243,-161,395
-612,64,-1324,127,67,436
-822,-237,-1399,-228,-42,436
-713,-436,-1625,-259,-344,436
121,-355,-1961,-368,-436,436
794,-791,-1892,-211,-389,436
1120,-113,-1944,-38,-436,436
1961,291,-1961,-425,-436,436
1961,-480,-1961,-436,-436,181
1961,-636,-1354,-436,-436,-102
1961,-839,-368,-436,-436,-355
1961,-836,126,-436,-436,-436
1961,-1815,592,-436,-87,-436
1961,-1961,1560,-436,274,-436
852,-1961,1961,-424,406,-436
-281,-1961,1896,-150,299,-436
-1072,-1961,1961,33,436,-436
-1961,-1961,1869,318,378,-363
-1961,-995,821,436,239,-191
-1961,325,42,436,135,47
-1836,338,-49,-310,178,330
-1952,-1267,-142,-436,191,436
-1923,-1866,-88,-436,213,436
-1961,-1961,422,-436,83,436
-1961,-1961,-132,-436,-59,436
-1961,-1961,-754,-436,-223,436
-1786,-1961,-1269,-436,-436,436
-1070,-1961,-1419,-436,-436,436
1409,-1961,-1028,-436,-436,436
642,-1961,751,-229,-110,436
-15,-1961,1033,-21,137,436
773,-1316,1087,-113,-401,291
1961,-1956,991,-399,-154,135
1911,-1953,1909,-58,195,18
464,-1532,1961,199,180,-150
323,-376,1644,208,-17,-143
200,-808,1497,-11,-173,-264
406,-795,1071,38,-119,-342
-108,-846,999,34,36,-331
-44,-901,689,-34,31,-340
-84,-803,657,-2,133,-288
-235,-1063,524,-8,164,-275
-482,-951,496,-5,71,-377
-144,-444,334,-34,35,-358
-355,-462,345,-150,199,-337
-902,-767,853,-230,140,-292
-604,-442,797,-21,-97,-255
-756,-109,917,-240,-38,-301
-1136,-353,1272,-314,-276,-166
-368,-459,731,-307,-303,-75
-639,-591,860,-281,-266,-13
-469,-505,676,-351,-436,113
149,-1091,144,-436,-436,191
336,-1538,220,-324,-320,186
-49,-1656,663,-276,-267,154
-246,-1547,549,-125,-403,146
-61,-1170,-28,-204,-436,139
375,-1439,-451,-367,-436,106
497,-1506,-660,-368,-436,-70
916,-930,-826,-436,-436,-176
633,-1304,-557,-436,-337,-89
565,-1476,-425,-273,-160,21
488,-1146,-257,44,-93,57
502,-842,-375,124,-43,41
