accX,accY,accZ,gyroX,gyroY,gyroZ
-66,-67,-1413,-436,-61,-98
-107,-753,-1054,-436,62,0
662,-630,-1961,-388,-42,-82
417,-925,-1961,-436,-53,-206
334,-1961,-1059,-315,10,-100
535,-1559,-1172,-278,-10,-171
400,-1961,89,-249,-34,-199
321,-1961,-8,116,-25,-181
116,-1961,123,157,-105,-218
258,-1952,-339,395,-28,-75
385,-799,-1449,436,-29,-14
618,-508,-1688,310,15,44
434,-131,-1545,392,121,161
281,46,-1373,286,55,132
577,351,-1622,216,53,93
101,659,-1066,104,61,72
95,886,-1148,74,36,50
216,1139,-1572,-146,-8,-30
20,805,-1207,-258,-10,-16
446,653,-1929,-329,6,-10
574,-40,-1961,-436,-16,-47
457,-1120,-1346,-436,115,54
769,-1861,-1382,-436,33,-15
222,-1961,-639,-371,162,-6
-683,-1961,524,-225,105,17
-472,-1961,302,147,29,85
-228,-1961,-88,273,-72,48
240,-1813,-752,430,-70,104
651,-812,-1675,436,-33,135
684,-636,-1599,357,-22,120
603,-353,-1283,341,-29,95
657,-174,-1372,375,18,116
495,498,-1437,222,-54,-8
460,501,-1284,147,-13,-18
223,907,-1332,65,36,-21
112,683,-1096,-135,-60,-92
224,688,-1333,-162,3,-31
335,397,-1571,-324,-68,-70
509,-15,-1961,-366,-33,-33
417,-541,-1623,-436,10,32
722,-1961,-1138,-436,36,33
182,-1800,-676,-252,38,-16
257,-1961,-363,-234,31,-17
-11,-1562,27,-35,35,2
32,-1338,-131,91,11,36
120,-899,-408,205,49,110
170,-968,-456,319,101,146
113,-857,-422,390,115,170
238,-916,-579,426,134,198
317,-833,-673,436,219,239
111,-708,-486,411,293,277
-63,-762,-230,345,265,302
-115,-818,-51,268,159,290
-101,-926,54,199,30,268
-147,-982,86,141,-117,198
-141,-992,66,80,-276,93
181,-901,-18,54,-322,36
433,-758,14,12,-158,19
477,-1296,673,-4,-14,-80
235,-1294,636,160,-4,-176
106,-721,394,264,45,-122
-39,-425,396,130,84,-66
-121,-460,473,-82,43,-88
-123,-667,479,-191,5,-79
-5,-775,473,-188,17,-37
-5,-767,478,-212,83,-2
-217,-1017,489,-235,76,-1
-289,-1285,388,-187,-27,4
-97,-1535,252,-69,-63,21
144,-1186,262,106,4,35
67,-811,364,96,37,2
17,-873,339,0,-9,-45
-81,-1106,249,3,-46,-83
-102,-1058,185,61,-52,-75
-94,-902,190,46,-38,-33
-36,-845,216,19,-32,5
-2,-777,235,-2,-33,10
10,-804,240,-51,-29,20
2,-927,211,-53,-19,35
