accX,accY,accZ,gyroX,gyroY,gyroZ
189,498,-744,-175,80,51
187,101,-940,-273,109,65
193,42,-1193,-256,138,58
171,-101,-1658,-384,192,46
-150,-386,-1819,-436,161,-36
-186,-376,-1961,-436,73,-52
-150,-561,-1961,-436,56,-35
-338,-742,-1765,-436,39,23
-254,-1073,-1547,-436,-25,47
158,-1856,-1617,-436,-13,134
232,-1961,-1536,-235,70,173
-44,-1961,-1095,-207,26,41
-111,-1961,-619,-67,-27,-42
-207,-1743,-551,202,-37,-38
-108,-1253,-935,413,-50,-13
-87,-823,-1183,436,-103,-34
136,-467,-1409,436,-156,-69
380,-344,-1864,436,-109,-60
199,393,-1961,436,-83,-38
440,1677,-1961,365,-112,-5
487,978,-1961,-23,-25,0
429,1158,-1837,-152,71,37
254,564,-1437,-384,112,41
141,156,-1346,-436,76,9
145,-52,-1613,-436,65,8
-20,-325,-1760,-436,69,43
-51,-975,-1710,-436,46,78
173,-1949,-1857,-436,83,110
-99,-1961,-1349,-288,127,54
-99,-1961,-1090,-268,40,-40
-224,-1961,-862,58,55,-27
-305,-1469,-639,233,-14,-34
-106,-1389,-811,321,-58,-29
-67,-1108,-1142,436,-92,-46
181,-566,-1646,436,-108,-74
121,-195,-1730,436,-60,-30
81,121,-1541,436,-78,24
342,717,-1756,436,-93,-3
462,799,-1961,279,-40,28
582,1146,-1961,89,-6,12
624,907,-1961,-266,67,-11
243,344,-1551,-436,90,-25
212,-8,-1526,-436,73,-23
65,-252,-1665,-436,66,-24
30,-404,-1786,-436,46,13
156,-1215,-1742,-436,65,97
164,-1764,-1498,-436,77,44
349,-1961,-1578,-256,112,10
24,-1949,-1084,-128,90,-74
-50,-1726,-775,44,58,-115
-110,-1224,-621,241,44,-80
-101,-741,-635,379,4,-44
115,-432,-828,407,-27,-18
304,-440,-1106,436,8,43
284,-388,-1432,436,46,86
285,-142,-1615,436,45,98
242,48,-1303,436,29,95
177,-71,-1032,218,16,121
13,-280,-743,97,-34,100
88,-473,-618,179,-94,108
140,-649,-562,307,-101,80
109,-657,-454,355,-126,44
232,-670,-328,347,-132,34
158,-521,-113,251,-91,25
103,-465,88,36,-152,-10
274,-636,163,-169,-133,44
373,-1081,233,-230,-107,37
415,-1199,287,-129,-47,35
364,-1071,318,-68,3,30
308,-1016,271,-43,36,28
327,-952,225,-23,78,35
161,-965,367,-51,92,21
216,-1061,239,-73,45,-12
236,-1101,148,-21,82,-7
120,-985,169,10,102,-12
44,-945,181,-12,83,-20
36,-984,220,-15,70,-13
-85,-1103,263,27,46,-5
9,-911,94,44,-1,-22
