accX,accY,accZ,gyroX,gyroY,gyroZ
-1202,-1961,-130,-102,-436,-14
-961,-1843,-512,112,-429,31
-1065,-1961,-498,77,-436,37
-424,-1961,-895,309,-436,-11
142,-1619,-1133,436,-436,-4
405,-1045,-1028,436,-374,19
968,-451,-1033,406,-300,-28
1114,-24,-622,200,-150,-84
1247,171,-447,93,-22,-76
1281,197,-445,48,236,8
1052,132,-512,83,377,-10
740,364,-725,-17,367,-198
507,355,-664,-234,249,-333
696,-46,-697,-406,237,-375
698,-560,-783,-425,285,-379
557,-794,-851,-433,242,-394
734,-1034,-1159,-436,170,-360
252,-1961,-1148,-436,162,-222
190,-1961,-1793,-436,227,-66
-998,-1961,-1242,-436,358,56
-1961,-1961,469,2,92,-183
-1961,-1961,368,302,-219,-130
-1034,-1961,-748,390,-318,208
522,-1961,-1435,361,-348,415
1168,-1961,-1391,417,-345,324
1511,-1629,-1629,436,-370,173
1881,-513,-1803,436,-180,202
1770,185,-1290,436,-60,220
1961,913,-1273,387,0,110
1937,996,-1547,102,129,-95
1260,922,-1653,-178,114,-276
1003,269,-1538,-436,132,-317
837,-757,-1359,-436,170,-298
744,-1155,-1439,-436,104,-328
1035,-1363,-1961,-436,145,-172
619,-1961,-1489,-436,311,-73
-775,-1961,-527,-362,175,-291
-1334,-1961,-128,-110,94,-244
-1961,-1961,1070,180,-68,-179
-1238,-1961,132,380,-266,19
87,-1961,-1554,436,-151,355
711,-1687,-1613,436,-245,343
1277,-1302,-1824,436,-316,163
1496,-808,-1634,436,-181,191
1939,48,-1563,436,5,293
1961,845,-1264,423,124,189
1571,846,-1012,-4,80,-50
1389,508,-1421,-179,62,-234
908,362,-1424,-338,187,-223
672,-144,-1342,-436,193,-223
655,-729,-1480,-436,119,-247
737,-1208,-1698,-436,127,-179
545,-1408,-1666,-436,249,-66
-543,-1961,-820,-436,137,-93
-575,-1961,-845,-321,118,13
-1685,-1961,-74,-74,145,132
-1961,-1961,551,315,-350,-214
-216,-1961,-1961,436,-383,-3
768,-1456,-1961,436,-112,436
1179,-1050,-1723,436,-205,323
1216,-821,-1402,326,-136,236
1047,-353,-928,371,-6,324
691,9,-362,277,73,308
515,-5,-210,145,45,212
442,127,-223,162,36,148
586,310,-396,142,10,77
585,319,-484,47,49,-30
349,86,-345,-56,51,-107
150,-220,-199,-117,31,-138
-35,-573,-275,-190,-3,-153
-213,-1086,-288,-168,-39,-152
-178,-853,-418,-232,-62,-135
-291,-1273,-300,-436,-64,-129
-363,-1817,-194,-436,-137,-103
-54,-1961,-360,-436,-84,-103
-69,-1961,-161,-436,81,-33
-205,-1961,52,-335,262,104
-590,-1961,1004,274,-41,162
231,-901,-619,370,129,135
