accX,accY,accZ,gyroX,gyroY,gyroZ
75,-964,115,123,89,-57
54,-890,79,125,93,-116
-60,-931,53,89,108,-140
-185,-1095,8,84,113,-125
-200,-1154,-54,129,91,-93
-102,-1013,-87,153,87,-69
-35,-926,-85,112,108,-65
-43,-980,-88,62,136,-75
-58,-984,-64,50,162,-79
-98,-1009,-44,34,185,-70
-118,-1065,-40,45,196,-59
-110,-1008,-35,55,207,-53
-139,-978,-16,45,210,-48
-153,-963,11,37,196,-43
-129,-917,45,21,179,-43
-90,-893,89,6,171,-44
-105,-861,125,-30,165,-47
-116,-987,155,-62,168,-42
-184,-1058,168,-62,166,-32
-272,-1189,184,-52,135,-21
-164,-1072,171,12,92,-6
1,-831,168,-8,86,-17
2,-850,193,-93,111,-51
-24,-968,224,-102,144,-62
-57,-916,241,-83,172,-60
-74,-946,251,-85,202,-61
-182,-975,282,-83,228,-59
-244,-1015,297,-96,235,-39
-264,-1067,350,-108,250,-2
-316,-1105,529,-77,242,20
-147,-1154,701,49,106,8
-106,-638,371,65,92,60
8,-769,245,-119,111,63
-138,-1078,345,-88,182,71
-170,-913,370,-27,191,99
-228,-915,407,-58,170,124
-197,-1021,397,-24,121,141
-130,-957,362,18,80,146
-47,-938,304,24,60,143
-21,-980,249,27,57,132
2,-1039,198,32,58,112
38,-1115,146,37,80,94
-48,-1181,108,30,97,63
-36,-1341,72,53,85,22
-24,-1160,80,80,89,-20
-36,-1037,113,63,81,-64
-11,-900,124,59,71,-94
-14,-823,125,26,80,-110
-68,-954,98,-3,95,-113
-66,-1012,63,24,124,-96
-141,-1079,45,7,159,-82
-186,-1271,3,20,170,-70
-171,-1272,-40,67,184,-66
-142,-1212,-63,96,199,-76
-84,-1104,-95,124,221,-95
-116,-998,-71,124,244,-128
-227,-921,-55,91,234,-159
-293,-945,-35,54,200,-166
-302,-883,5,51,176,-142
-310,-738,99,20,149,-97
-302,-714,188,-34,103,-49
-256,-738,220,-59,45,-9
-206,-785,230,-71,3,20
-175,-846,217,-68,-12,51
-153,-932,205,-54,-14,83
-124,-930,206,-37,-13,105
-183,-975,199,-82,-6,110
-262,-1231,181,-102,-24,120
-213,-1315,185,-45,-56,142
-30,-1010,206,4,-82,146
113,-781,213,-33,-81,102
155,-773,238,-97,-54,36
25,-946,240,-129,-13,5
-110,-1138,222,-93,27,13
-249,-1218,225,-49,22,33
-221,-1172,217,-30,-18,47
-58,-1050,225,-48,-37,42
55,-933,256,-67,-20,17
103,-865,287,-78,22,-4
